event,node,start,end
form start,,1637478125213,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637478125217,1637478130694
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637478130723,1637478327086
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637478327097,1637478328921
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637478328931,1637478330803
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637478330812,1637478332509
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637478332522,1637478336226
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637478336235,1637478338138
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637478338151,1637478348910
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637478348918,1637478421159
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637478421217,1637478424548
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637478424562,1637478425456
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637478425515,1637478426643
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637478426652,1637478432193
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637478432201,1637478436526
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637478436535,1637478444932
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637478444940,1637478453371
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637478453381,1637478455549
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637478455557,1637478466750
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637478466760,1637478476155
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637478476163,1637478483633
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637478483642,1637478484947
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637478484955,1637478486712
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637478486721,1637478499152
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637478499161,1637478505582
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637478505598,1637478518258
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637478518267,1637478522920
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637478522929,1637478666547
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637478666634,1637478751071
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637478751128,1637478778822
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637478778837,1637478781944
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637478781955,1637478815144
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637478815154,1637478838689
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637478838697,1637478865418
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637478865433,1637478876283
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_loss_employ,1637478876294,1637478879892
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637478879901,1637478881619
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_loss_employ,1637478881630,1637478887923
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637478887932,1637478916246
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637478916255,1637479106136
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637479106210,1637479214832
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637479214888,1637479264800
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637479264809,1637479270978
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637479270987,1637479333740
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637479333773,1637479351302
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637479351312,1637479378408
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637479378417,1637479394775
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637479394790,1637479404318
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637479404327,1637479406392
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637479406400,1637479408755
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637479408763,1637479418174
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637479418192,1637479428872
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637479428884,1637479440754
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637479440763,1637479454808
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637479454817,1637479478605
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637479478616,1637479480245
end screen,,1637479480253,1637479540017
form save,,1637479540951,
form exit,,1637479540951,
form finalize,,1637479540951,
