event,node,start,end
form start,,1637568188153,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637568188155,1637568226399
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637568226408,1637568375591
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637568375601,1637568377212
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637568377224,1637568378840
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637568378851,1637568380622
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637568380633,1637568393969
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637568393979,1637568396168
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637568396178,1637568406722
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637568406733,1637568471809
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637568471872,1637568472910
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637568472921,1637568478000
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637568478012,1637568485525
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637568485536,1637568504272
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637568504293,1637568523434
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637568523442,1637568525130
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637568525138,1637568543269
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637568543283,1637568554318
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637568554327,1637568556329
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637568556338,1637568568940
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637568568948,1637568582633
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637568582642,1637568589864
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637568589881,1637568628213
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637568628293,1637568641378
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637568641395,1637568749138
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637568749200,1637568862908
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637568862962,1637568871227
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637568871236,1637568884784
