event,node,start,end
form start,,1637749368705,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637749368707,1637749377044
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637749377053,1637749475623
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637749475636,1637749477394
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637749477402,1637749479593
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637749479607,1637749481376
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637749481388,1637749483461
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637749483472,1637749485426
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637749485434,1637749507829
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637749507838,1637749509974
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637749509987,1637749512281
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637749512293,1637749520944
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637749520959,1637749584805
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637749584861,1637749586498
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637749586509,1637749592472
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637749592480,1637749598664
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637749598673,1637749608829
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637749608839,1637749610730
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637749610739,1637749619045
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637749619060,1637749658862
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637749658869,1637749664913
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637749664921,1637749685330
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637749685341,1637749697791
