event,node,start,end
form start,,1637496527946,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637496527947,1637496780102
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637496780115,1637496856667
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637496856681,1637496858175
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637496858191,1637496859665
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637496859680,1637496862005
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637496862018,1637496871201
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637496871211,1637496872780
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637496872793,1637496879076
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637496879085,1637496937249
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637496937308,1637496939333
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637496939342,1637496943396
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637496943406,1637496949980
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637496949989,1637496960261
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637496960270,1637496976515
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637496976524,1637496978381
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637496978389,1637496981374
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637496981383,1637496983219
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637496983229,1637497003718
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637497003726,1637497011908
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637497011917,1637497014184
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637497014194,1637497018062
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637497018071,1637497028283
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637497028292,1637497032635
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637497032648,1637497114586
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637497114666,1637497183934
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637497183989,1637497200901
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637497200910,1637497202277
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637497202293,1637497227619
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637497227629,1637497237573
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637497237583,1637497248652
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637497248661,1637497268761
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637497268770,1637497455915
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637497455972,1637497541774
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637497541827,1637497560881
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637497560890,1637497568948
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637497568957,1637497614904
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637497614941,1637497622452
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637497622461,1637497634819
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637497634827,1637497673881
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637497673890,1637497677819
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637497677837,1637497686092
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637497686101,1637497700348
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637497700357,1637497712293
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637497712302,1637497723747
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637497723761,1637497734143
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637497734154,1637497735291
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637497735301,1637497773167
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637497773181,1637497790158
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637497790171,1637497791900
end screen,,1637497791909,1637497844411
form save,,1637497845220,
form exit,,1637497845220,
form finalize,,1637497845221,
