event,node,start,end
form start,,1637738627829,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637738627829,1637738640241
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637738640249,1637738763570
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637738763579,1637738764372
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637738764381,1637738770511
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637738770522,1637738772161
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637738772173,1637738774766
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637738774778,1637738776288
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637738776301,1637738780620
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637738780629,1637738786265
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637738786274,1637738792327
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637738792336,1637738854213
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637738854294,1637738856662
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637738856675,1637738858389
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637738858447,1637738859473
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637738859483,1637738864010
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637738864023,1637738873358
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637738873370,1637738878941
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637738878955,1637738890260
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637738890274,1637738893153
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637738893166,1637738896869
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637738896879,1637738910038
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637738910049,1637738912049
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637738912059,1637738925431
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637738925439,1637738930361
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637738930378,1637738932990
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637738932999,1637739013720
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637739013806,1637739062229
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637739062332,1637739078088
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637739078097,1637739086557
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637739086566,1637739123734
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637739123744,1637739126367
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637739126380,1637739129189
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637739129197,1637739137431
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637739137440,1637739140076
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637739140089,1637739141533
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637739141549,1637739150943
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637739150955,1637739305339
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637739305399,1637739347867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637739347928,1637739361720
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637739361730,1637739368593
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637739368602,1637739397313
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637739397350,1637739411550
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637739411564,1637739416479
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637739416494,1637739436416
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637739436428,1637739444789
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637739444799,1637739446925
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637739446949,1637739454418
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637739454426,1637739459364
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637739459373,1637739464437
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637739464454,1637739467412
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637739467422,1637739468992
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637739469002,1637739481426
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637739481435,1637739482451
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637739482464,1637739516046
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637739516054,1637739526249
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637739526259,1637739527172
end screen,,1637739527180,1637740117536
form save,,1637740118262,
form exit,,1637740118262,
form finalize,,1637740118262,
