event,node,start,end
form start,,1637750696701,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637750696703,1637750702383
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637750702392,1637750795568
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637750795578,1637750797016
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637750797029,1637750798381
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637750798392,1637750799798
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637750799811,1637750805002
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637750805011,1637750806482
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637750806495,1637750810494
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637750810505,1637750891114
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637750891177,1637750893911
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637750893921,1637750898491
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637750898500,1637750902521
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637750902530,1637750907445
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637750907457,1637750915623
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637750915632,1637750921541
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637750921550,1637750923747
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637750923756,1637750924576
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637750924592,1637750936426
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637750936435,1637750943957
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637750943967,1637750947078
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637750947088,1637750949226
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637750949241,1637750963571
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637750963580,1637750967541
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637750967551,1637751094612
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637751094695,1637751159625
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637751159672,1637751161804
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637751161815,1637751163634
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637751163679,1637751168255
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637751168342,1637751171232
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637751171281,1637751182456
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637751182465,1637751183874
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637751183887,1637751211746
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637751211760,1637751214315
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637751214324,1637751233889
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637751233900,1637751260221
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637751260230,1637751430978
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637751431035,1637751497835
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637751497885,1637751514144
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637751514158,1637751527319
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637751527328,1637751571671
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637751571711,1637751584943
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637751584952,1637751595658
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637751595667,1637751621703
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637751621713,1637751626117
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637751626133,1637751628646
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637751628655,1637751637490
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637751637499,1637751642108
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637751642116,1637751643100
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637751643108,1637751644741
