event,node,start,end
form start,,1637670122270,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637670122272,1637670125123
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637670125132,1637670216635
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637670216646,1637670217961
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637670217973,1637670219470
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637670219481,1637670221413
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637670221426,1637670222689
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637670222702,1637670242933
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637670242943,1637670248516
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637670248523,1637670250905
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637670250913,1637670252141
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637670252152,1637670258578
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637670258586,1637670313479
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637670313534,1637670314521
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637670314530,1637670315451
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637670315460,1637670317818
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637670317826,1637670319175
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637670319189,1637670323285
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637670323296,1637670351839
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637670351854,1637670354208
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637670354217,1637670360235
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637670360244,1637670372908
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637670372917,1637670379791
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637670379800,1637670399174
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637670399186,1637670408856
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637670408869,1637670410313
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637670410327,1637670412518
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637670412528,1637670413326
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637670413340,1637670417677
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637670417687,1637670419134
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637670419146,1637670421503
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637670421516,1637670424504
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637670424515,1637670460011
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637670460065,1637670462423
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637670462434,1637670516454
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637670516611,1637670572892
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637670572959,1637670575613
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637670575627,1637670577009
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637670577020,1637670583141
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637670583149,1637670590912
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637670590921,1637670617027
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637670617035,1637670618518
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637670618530,1637670632489
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637670632500,1637670634270
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637670634282,1637670636975
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637670636988,1637670648103
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637670648113,1637670777108
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637670777162,1637670836549
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637670836621,1637670842190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637670842202,1637670843907
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637670843915,1637670848518
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637670848526,1637670859690
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637670859698,1637670863451
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637670863461,1637670867966
