event,node,start,end
form start,,1637656673890,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637656673891,1637656676740
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637656676754,1637656730643
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637656730653,1637656736641
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637656736653,1637656738179
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637656738193,1637656740049
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637656740061,1637656745842
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637656745859,1637656747853
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637656747864,1637656801285
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637656801294,1637656886270
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637656886335,1637656887322
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637656887331,1637656900772
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637656900781,1637656908864
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637656908875,1637656933055
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637656933069,1637656956529
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637656956539,1637656958294
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637656958303,1637656959545
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637656959554,1637656960428
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637656960438,1637656971919
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637656971927,1637656972884
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637656972893,1637656981161
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637656981173,1637656984939
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637656984948,1637656986397
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637656986410,1637656999789
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637656999804,1637657001943
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637657001953,1637657020102
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637657020110,1637657067652
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637657067811,1637657111285
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637657111334,1637657114153
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637657114163,1637657115631
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637657115644,1637657126364
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637657126373,1637657135481
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637657135491,1637657152287
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637657152296,1637657179723
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637657179756,1637657182174
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637657182184,1637657184410
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637657184423,1637657186564
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637657186578,1637657242141
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637657242151,1637657266724
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637657266787,1637657270107
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637657270116,1637657554829
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637657554888,1637657601966
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637657602021,1637657635460
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637657635472,1637657636548
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637657636558,1637657637924
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637657637936,1637657641539
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637657641548,1637657644513
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637657644524,1637657646688
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637657646697,1637657652125
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637657652156,1637657652946
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637657652955,1637657653993
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637657654002,1637657655615
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637657655624,1637657658531
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637657658545,1637657664359
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637657664373,1637657692876
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637657692905,1637657694907
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637657694916,1637657696778
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637657696822,1637657697966
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637657697975,1637657700801
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637657700833,1637657714371
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637657714384,1637657718555
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637657718564,1637657738513
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637657738527,1637657742332
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637657742349,1637657744302
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637657744313,1637657747624
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637657747642,1637657757778
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637657757788,1637657765170
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637657765183,1637657771309
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637657771317,1637657772787
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637657772801,1637657774368
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637657774377,1637657798902
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637657798918,1637657800029
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637657800038,1637657815158
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637657815167,1637657823493
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637657823502,1637657829570
end screen,,1637657829582,1637657871839
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637657871839,1637657874692
jump,,1637657874692,1637657878181
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637657878229,1637657879657
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637657879666,1637657880601
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637657880610,1637657881524
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637657881533,1637657882364
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637657882380,1637657883164
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637657883174,1637657884374
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637657884388,1637657885420
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637657885429,1637657932898
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637657932907,1637657952346
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637657952413,1637657953684
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637657953693,1637657954941
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637657955011,1637657956043
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637657956051,1637657959659
jump,,1637657959660,1637657962980
end screen,,1637657963098,1637657969625
form save,,1637657970449,
form exit,,1637657970449,
form finalize,,1637657970449,
