event,node,start,end
form start,,1637144468804,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637144468806,1637144714875
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637144714886,1637144781045
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637144781071,1637144782871
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637144782883,1637144786339
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637144786348,1637144789319
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637144789328,1637144794336
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637144794346,1637144796415
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637144796424,1637144808811
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637144808819,1637144910476
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637144910543,1637144912051
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637144912064,1637144916338
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637144916346,1637144921585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637144921595,1637144933789
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637144933798,1637144947907
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637144947917,1637144953114
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637144953126,1637144963636
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637144963649,1637144974090
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637144974098,1637144982887
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637144982896,1637144992656
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637144992664,1637145008311
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637145008320,1637145057664
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637145057674,1637145186985
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637145187103,1637145266802
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637145266854,1637145292047
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637145292056,1637145295261
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637145295269,1637145318519
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637145318527,1637145330462
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637145330474,1637145353493
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637145353506,1637145387097
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637145387108,1637145540841
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637145540903,1637145623881
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637145623950,1637145644883
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637145644892,1637145648937
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637145648946,1637145709859
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637145709895,1637145723636
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637145723644,1637145755510
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637145755520,1637145768335
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637145768343,1637145779974
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637145779982,1637145792902
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637145792913,1637145799768
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637145799776,1637145805796
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637145805804,1637145819797
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637145819824,1637145849899
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637145849908,1637145851157
end screen,,1637145851166,1637145910081
form save,,1637145910523,
form exit,,1637145910523,
form finalize,,1637145910523,
form resume,,1637153381914,
jump,,1637153381914,1637153383861
end screen,,1637153383887,1637153399359
form save,,1637153399908,
form exit,,1637153399908,
form finalize,,1637153399908,
