event,node,start,end
form start,,1638093033662,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638093033663,1638093036031
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638093036041,1638093301341
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638093301351,1638093303170
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638093303183,1638093305678
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638093305686,1638093308421
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638093308430,1638093316566
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638093316575,1638093319276
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638093319285,1638093327323
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638093327333,1638093429795
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638093429863,1638093432288
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638093432298,1638093441430
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638093441440,1638093478104
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638093478113,1638093490338
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638093490347,1638093501876
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638093501885,1638093503556
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638093503565,1638093526530
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638093526539,1638093544118
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638093544128,1638093548042
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638093548051,1638093559213
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638093559222,1638093561640
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638093561651,1638093584564
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638093584573,1638093586014
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638093586023,1638093728204
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638093728272,1638093776527
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638093776579,1638093788443
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638093788453,1638093818400
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638093818410,1638093869188
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638093869195,1638093892727
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638093892736,1638093897633
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638093897642,1638093900426
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638093900434,1638093902402
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638093902411,1638093905478
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638093905488,1638094223563
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638094223625,1638094332699
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638094332756,1638094347360
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1638094347369,1638094349920
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638094349928,1638094362886
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1638094362896,1638094367492
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638094367502,1638094431429
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638094431454,1638094473655
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638094473665,1638094475649
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638094475659,1638094494965
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638094494974,1638094519469
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638094519478,1638094546052
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638094546062,1638094549277
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638094549285,1638094551371
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638094551380,1638094554280
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638094554288,1638094556010
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638094556017,1638094557539
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638094557547,1638094558404
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638094558412,1638094584819
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638094584828,1638094604635
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638094604644,1638094610136
