event,node,start,end
form start,,1638081061663,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638081061666,1638082617105
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638082617117,1638082915880
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638082915889,1638082916328
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638082916339,1638082917409
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638082917416,1638082925837
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638082925845,1638083097178
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638083097186,1638083101317
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638083101324,1638083102016
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638083102023,1638083104209
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638083104217,1638083106238
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638083106245,1638083108167
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638083108174,1638083114850
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638083114858,1638083116777
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638083116785,1638083124874
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638083124883,1638083202787
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638083202840,1638083208892
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638083208899,1638083210482
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638083210535,1638083219166
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638083219174,1638083220741
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638083220798,1638083221409
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638083221417,1638083225050
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638083225058,1638083238050
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638083238059,1638083240594
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638083240602,1638083257400
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638083257409,1638083259794
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638083259802,1638083273960
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638083273968,1638083276004
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638083276012,1638083285977
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638083285986,1638083294522
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638083294531,1638083298579
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638083298587,1638083303533
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638083303542,1638083308754
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638083308762,1638083323582
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638083323591,1638083326257
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638083326266,1638083328037
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638083328045,1638083344810
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638083344818,1638083349134
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638083349142,1638083470414
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638083470469,1638083541012
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638083541059,1638083545099
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638083545107,1638083548473
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638083548482,1638083578180
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638083578189,1638083589501
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638083589510,1638083593144
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638083593152,1638083623667
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638083623676,1638083627771
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1638083627778,1638083629898
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638083629906,1638083643081
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638083643089,1638083892920
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638083892974,1638083971784
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638083971824,1638083993576
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638083993584,1638083998863
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638083998911,1638084001339
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638084001347,1638084005412
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638084005420,1638084006276
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638084006284,1638084008239
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638084008248,1638084045709
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638084045739,1638084048585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638084048593,1638084059125
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638084059135,1638084067287
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638084067296,1638084069033
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638084069043,1638084071559
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638084071567,1638084079904
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638084079913,1638084081683
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638084081691,1638084085458
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638084085466,1638084113718
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638084113726,1638084114998
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638084115005,1638084260384
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638084260393,1638084280766
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638084280775,1638084283807
end screen,,1638084283816,1638084302438
form save,,1638084302624,
form exit,,1638084302624,
form resume,,1638084380759,
jump,,1638084380759,1638084382642
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638084382664,1638084392087
form save,,1638084392255,
form exit,,1638084392255,
form resume,,1638084395307,
jump,,1638084395307,1638084396440
end screen,,1638084396462,1638084480237
form save,,1638084480446,
form exit,,1638084480446,
form resume,,1638084487587,
jump,,1638084487588,1638084490782
end screen,,1638084490804,1638084493260
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638084493260,1638084495106
end screen,,1638084495114,1638084497150
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638084497150,1638084498580
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638084498589,1638084502254
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638084502263,1638084503418
end screen,,1638084503426,1638084505988
form save,,1638084506152,
form exit,,1638084506152,
form resume,,1638086081457,
jump,,1638086081457,1638086084029
end screen,,1638086084050,1638086085525
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638086085525,1638086086473
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638086086480,1638086087936
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638086087943,1638086111210
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638086111218,1638086113903
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638086113910,1638086115182
end screen,,1638086115189,1638086139165
form save,,1638086139342,
form exit,,1638086139342,
form resume,,1638090306802,
jump,,1638090306802,1638090345800
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638090321580,1638090345800
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638090345809,1638090391539
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638090391600,1638090397187
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638090397231,1638090398481
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638090398487,1638090399678
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638090399686,1638090402305
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638090402313,1638090403535
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638090403543,1638090404667
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638090404675,1638090406396
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638090406405,1638090407658
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1638090407666,1638090408855
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638090408863,1638090416002
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638090416011,1638090437716
form save,,1638090437868,
form exit,,1638090437868,
form resume,,1638105084217,
jump,,1638105084217,1638105098500
end screen,,1638105098522,1638105100594
form save,,1638105100804,
form exit,,1638105100804,
form finalize,,1638105100804,
