event,node,start,end
form start,,1637500289241,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637500289242,1637500301515
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637500301524,1637500304624
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637500304633,1637500306313
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637500306321,1637500307184
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637500307192,1637500917835
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637500917845,1637500920340
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637500920350,1637500922117
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637500922130,1637500924760
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637500924770,1637500927485
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637500927499,1637500935356
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637500935365,1637500936602
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637500936669,1637500942878
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637500942887,1637500970276
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637500970345,1637500973015
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637500973024,1637500982330
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637500982346,1637501006711
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637501006741,1637501009150
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637501009159,1637501023798
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637501023807,1637501027266
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637501027276,1637501046682
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637501046696,1637501053296
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637501053304,1637501057635
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637501057647,1637501059856
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637501059867,1637501071378
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637501071388,1637501074283
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637501074292,1637501080562
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637501080570,1637501234780
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637501234861,1637501305590
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637501305641,1637501315545
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637501315555,1637501321861
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637501321870,1637501358735
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637501358744,1637501367554
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637501367562,1637501393831
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637501393847,1637501396071
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637501396085,1637501400243
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_shock_ineffective_med,1637501400258,1637501404738
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637501404750,1637501406335
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637501406349,1637501414422
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637501414429,1637501530121
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637501530179,1637501582941
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637501582997,1637501598397
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637501598410,1637501600435
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637501600445,1637501604633
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637501604667,1637501605600
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637501605609,1637501646101
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637501646135,1637501650394
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637501650411,1637501669290
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637501669298,1637501673466
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637501673474,1637501677680
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637501677695,1637501681495
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637501681510,1637501696918
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637501696929,1637501702144
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637501702156,1637501727038
