event,node,start,end
form start,,1637670081858,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637670081859,1637670085594
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637670085614,1637670222619
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637670222631,1637670225033
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637670225045,1637670226614
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637670226627,1637670239663
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637670239672,1637670241800
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637670241809,1637670243791
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637670243804,1637670251481
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637670251493,1637670294045
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637670294123,1637670295881
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637670295893,1637670304722
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637670304736,1637670311629
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637670311638,1637670321497
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637670321507,1637670331813
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637670331822,1637670333573
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637670333586,1637670343650
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637670343661,1637670352334
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637670352350,1637670374349
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637670374359,1637670400662
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637670400672,1637670406250
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637670406266,1637670408157
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637670408169,1637670411177
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637670411188,1637670713581
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637670713683,1637670755627
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637670755679,1637670781174
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637670781195,1637670787866
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637670787876,1637670803261
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637670803270,1637670814179
