event,node,start,end
form start,,1637577689051,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637577689053,1637577694463
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637577694479,1637577734017
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637577734027,1637577735483
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637577735498,1637577736908
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637577736923,1637577738439
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637577738452,1637577742606
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637577742616,1637577744434
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637577744449,1637577763533
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637577763542,1637577822872
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637577822936,1637577824417
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637577824431,1637577831077
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637577831087,1637577841770
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637577841781,1637577848346
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637577848362,1637577857068
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637577857080,1637577858617
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637577858628,1637577874489
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637577874506,1637577883899
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637577883908,1637577888576
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637577888587,1637577894439
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637577894449,1637577909995
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637577910004,1637577913437
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637577913446,1637578170026
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637578170122,1637578275562
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637578275622,1637578302472
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637578302486,1637578307205
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637578307217,1637578383856
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637578383866,1637578385406
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637578385420,1637578387359
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637578387371,1637578423868
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637578423881,1637578426819
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637578426828,1637578428014
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637578428023,1637578429434
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637578429448,1637578431045
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637578431055,1637578448713
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637578448726,1637578633821
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637578633885,1637578703080
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637578703133,1637578726905
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637578726921,1637578750538
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637578750553,1637578768765
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637578768779,1637578771572
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637578771588,1637578861414
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637578861449,1637578865542
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637578865556,1637578888547
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637578888556,1637578900847
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637578900861,1637578911938
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637578911953,1637578913802
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637578913815,1637578918997
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637578919012,1637578955216
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637578955231,1637578966934
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637578966943,1637578977158
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637578977169,1637578978519
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637578978533,1637579039665
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637579039680,1637579061843
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637579061855,1637579063286
end screen,,1637579063297,1637579090701
form save,,1637579091512,
form exit,,1637579091513,
form finalize,,1637579091513,
form resume,,1637587625183,
jump,,1637587625183,1637587632439
end screen,,1637587632467,1637587633912
form save,,1637587634385,
form exit,,1637587634385,
form finalize,,1637587634387,
