event,node,start,end
form start,,1637660913378,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637660913379,1637660916533
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637660916541,1637661058306
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637661058319,1637661059715
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637661059728,1637661061987
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637661061996,1637661066599
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637661066607,1637661067430
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637661067442,1637661068808
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637661068819,1637661073463
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637661073472,1637661075850
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637661075864,1637661094072
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637661094080,1637661208995
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637661209069,1637661213405
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637661213414,1637661221171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637661221186,1637661230951
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637661230964,1637661238071
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637661238080,1637661240886
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637661240898,1637661249444
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637661249455,1637661261182
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637661261191,1637661263365
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637661263376,1637661271131
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637661271142,1637661307595
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637661307604,1637661315249
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637661315259,1637661317514
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637661317525,1637661319112
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637661319125,1637661336113
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637661336125,1637661398432
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637661398530,1637661495724
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637661495807,1637661498228
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637661498236,1637661506123
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637661506132,1637661512171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637661512185,1637661513892
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637661513900,1637661516996
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637661517016,1637661552092
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources_other,1637661552104,1637661555168
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637661555176,1637661560369
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637661560382,1637661664040
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637661664097,1637661710864
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637661710914,1637661737491
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637661737500,1637661738624
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637661738632,1637661746763
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637661746771,1637661750505
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637661750513,1637661754493
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637661754505,1637661771020
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637661771062,1637661774011
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637661774019,1637661779409
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637661779418,1637661792169
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637661792180,1637661794011
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637661794020,1637661796380
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637661796391,1637661798730
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637661798741,1637661801907
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637661801919,1637661803607
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637661803616,1637661805734
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637661805749,1637661815037
