event,node,start,end
form start,,1637579106035,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637579106036,1637579109950
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637579109964,1637579420573
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637579420589,1637579422216
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637579422228,1637579424170
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637579424184,1637579431051
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637579431064,1637579436034
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637579436043,1637579438167
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637579438181,1637579440446
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637579440456,1637579485245
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637579485313,1637579486853
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637579486862,1637579488128
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637579488192,1637579489949
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637579489962,1637579493150
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637579493226,1637579494589
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637579494600,1637579501073
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637579501097,1637579507565
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637579507579,1637579515322
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637579515336,1637579526879
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637579526888,1637579528552
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637579528561,1637579538361
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637579538375,1637579551887
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637579551904,1637579556487
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637579556503,1637579571927
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637579571937,1637579572953
