event,node,start,end
form start,,1637738653004,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637738653005,1637738685442
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637738685452,1637738729585
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637738729600,1637738731118
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637738731129,1637738742840
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637738742852,1637738748149
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637738748161,1637738753410
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637738753418,1637738755640
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637738755652,1637738770506
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637738770514,1637738775016
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637738775083,1637738777385
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637738777393,1637738778743
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637738778826,1637738780784
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637738780792,1637738841775
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637738841833,1637738846402
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637738846415,1637738849522
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637738849530,1637738859256
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637738859264,1637738864217
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637738864226,1637738870935
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637738870944,1637738892002
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637738892015,1637738903757
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637738903765,1637738906046
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637738906054,1637738922738
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637738922746,1637738934171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637738934179,1637738936420
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637738936432,1637738944928
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637738944938,1637738947722
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637738947732,1637738964293
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637738964305,1637739035382
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637739035530,1637739100600
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637739100665,1637739127038
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637739127049,1637739129406
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637739129414,1637739135605
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637739135619,1637739137952
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637739137962,1637739141048
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637739141059,1637739142423
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637739142431,1637739144770
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_misaligned_why,1637739144778,1637739147015
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637739147023,1637739161904
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637739161913,1637739167575
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637739167587,1637739170061
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637739170069,1637739205002
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637739205017,1637739217549
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources_other,1637739217561,1637739225865
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637739225872,1637739238835
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637739238845,1637739423107
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637739423163,1637739504440
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637739504525,1637739555129
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637739555141,1637739575706
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637739575716,1637739628019
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637739628053,1637739640798
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637739640810,1637739644884
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637739644895,1637739660157
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637739660172,1637739661899
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637739661908,1637739668623
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637739668635,1637739678434
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637739678448,1637739684267
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637739684277,1637739695311
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637739695323,1637739722304
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637739722317,1637739723213
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637739723221,1637739745446
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637739745454,1637739764419
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637739764427,1637739765916
end screen,,1637739765922,1637740042018
form save,,1637740042512,
form exit,,1637740042512,
form finalize,,1637740042513,
