event,node,start,end
form start,,1638082863753,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638082863756,1638082868592
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638082868604,1638083159795
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638083159804,1638083163463
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638083163471,1638083168088
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638083168098,1638083171147
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638083171156,1638083171829
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638083171837,1638083173608
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638083173615,1638083184063
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638083184072,1638083185925
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638083185933,1638083187739
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638083187747,1638083215064
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638083215124,1638083216248
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638083216256,1638083223962
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638083223970,1638083244675
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638083244685,1638083245058
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638083245067,1638083262146
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638083262155,1638083263826
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638083263833,1638083270409
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638083270418,1638083272205
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638083272215,1638083293483
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638083293492,1638083319135
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638083319143,1638083321927
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638083321935,1638083324122
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638083324130,1638083336010
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638083336018,1638083536980
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638083537057,1638083538092
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638083538102,1638083538956
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638083538966,1638083539986
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638083539994,1638083541715
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638083541723,1638083543644
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638083543652,1638083544957
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638083544966,1638083546437
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638083546444,1638083547584
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638083547592,1638083548647
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638083548655,1638083549645
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638083549654,1638083550676
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638083550684,1638083552449
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638083552505,1638083555381
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638083555389,1638083560182
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638083560245,1638083560999
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638083561008,1638083562346
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638083562355,1638083565073
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638083565082,1638083566053
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638083566061,1638083566718
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638083566728,1638083567399
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638083567407,1638083567981
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638083567990,1638083568563
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638083568572,1638083569178
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638083569186,1638083569761
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638083569770,1638083570361
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638083570369,1638083742659
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638083742722,1638083794288
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638083794326,1638083798350
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638083798432,1638083822816
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638083822854,1638083865038
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638083865046,1638083867414
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638083867423,1638083914014
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638083914024,1638083918668
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638083918676,1638083937273
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638083937282,1638083940731
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638083940741,1638083944501
