event,node,start,end
form start,,1637660609634,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637660609635,1637660617681
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637660617690,1637661082166
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637661082176,1637661084034
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637661084045,1637661085387
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637661085400,1637661086883
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637661086895,1637661093846
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637661093855,1637661095812
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637661095820,1637661111150
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637661111159,1637661158816
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637661158873,1637661161139
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637661161148,1637661171321
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637661171334,1637661172882
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637661172893,1637661181086
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637661181095,1637661192784
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637661192793,1637661195135
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637661195143,1637661197708
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637661197717,1637661198418
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637661198429,1637661206279
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637661206290,1637661221287
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637661221296,1637661222825
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637661222833,1637661224950
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637661224959,1637661226852
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637661226861,1637661229363
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637661229372,1637661232139
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637661232148,1637661238805
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637661238816,1637661246619
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637661246627,1637661248505
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637661248514,1637661253735
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637661253812,1637661257681
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637661257691,1637661390185
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637661390274,1637661481083
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637661481139,1637661492402
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637661492412,1637661494061
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637661494069,1637661527268
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637661527277,1637661543600
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637661543608,1637661579755
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637661579764,1637661616167
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637661616179,1637661774655
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637661774708,1637661838130
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637661838185,1637661865165
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637661865174,1637661877508
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637661877518,1637661905372
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637661905404,1637661915469
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637661915478,1637661934806
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637661934818,1637661948623
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637661948632,1637661954720
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637661954733,1637661957473
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637661957481,1637661967493
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637661967507,1637661969660
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637661969669,1637661995830
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637661995842,1637662006918
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637662006931,1637662007869
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637662007878,1637662048504
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637662048513,1637662062962
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637662062975,1637662064461
end screen,,1637662064469,1637662108519
form save,,1637662109008,
form exit,,1637662109009,
form finalize,,1637662109009,
