event,node,start,end
form start,,1637582628675,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637582628677,1637582848377
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637582848387,1637582850041
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637582850055,1637582851791
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637582851806,1637582853363
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637582853372,1637582855996
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637582856007,1637582868048
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637582868058,1637582870193
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637582870203,1637582872338
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637582872348,1637582873916
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637582873929,1637582879341
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637582879351,1637582885237
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637582885245,1637583021305
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637583021408,1637583022694
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637583022709,1637583028303
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637583028312,1637583032661
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637583032674,1637583039197
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637583039208,1637583056756
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637583056770,1637583062105
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637583062119,1637583070303
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637583070313,1637583081504
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637583081514,1637583084196
