event,node,start,end
form start,,1637752096304,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637752096305,1637752100101
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637752100110,1637752103851
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637752103860,1637752106851
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637752106861,1637752107804
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637752107812,1637752367295
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637752367304,1637752372984
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637752372998,1637752375665
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637752375676,1637752377678
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637752377690,1637752380743
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637752380755,1637752395768
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637752395776,1637752397622
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637752397636,1637752398971
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637752398984,1637752423806
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637752423814,1637752535045
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637752535102,1637752536332
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637752536340,1637752543592
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637752543601,1637752558402
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637752558413,1637752564333
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637752564343,1637752582755
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637752582763,1637752585698
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637752585706,1637752617080
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637752617089,1637752631853
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637752631861,1637752634475
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637752634484,1637752636311
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637752636319,1637752649540
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637752649548,1637752762164
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637752762244,1637752814468
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637752814518,1637752817647
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637752817657,1637752831399
