event,node,start,end
form start,,1638178497030,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638178497031,1638178499544
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638178499552,1638178559709
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638178559719,1638178561301
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638178561313,1638178562582
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638178562592,1638178564128
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638178564136,1638178570529
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638178570538,1638178572108
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638178572116,1638178576464
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638178576472,1638178598569
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638178598632,1638178599421
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638178599430,1638178601949
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638178601958,1638178642494
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638178642502,1638178644356
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638178644366,1638178675510
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638178675519,1638178677023
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638178677032,1638178679666
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638178679675,1638178680447
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638178680456,1638178682558
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638178682567,1638178683290
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638178683299,1638178698916
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638178698926,1638178707312
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638178707322,1638178708542
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638178708550,1638178710372
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638178710381,1638178725382
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638178725391,1638178726880
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638178726889,1638178848197
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638178848268,1638178955580
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638178955630,1638178983822
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638178983831,1638178990720
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638178990729,1638179024601
