event,node,start,end
form start,,1637141947448,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637141947450,1637141957948
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637141957958,1637142300088
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637142300100,1637142302062
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637142302072,1637142304085
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637142304100,1637142307707
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637142307718,1637142312707
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637142312717,1637142315388
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637142315402,1637142323324
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637142323333,1637142425647
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637142425710,1637142428171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637142428188,1637142431479
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637142431488,1637142438830
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637142438843,1637142451421
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637142451431,1637142457472
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637142457481,1637142461238
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637142461247,1637142469718
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637142469732,1637142472836
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637142472845,1637142484016
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637142484027,1637142498367
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637142498378,1637142502115
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637142502125,1637142512008
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637142512023,1637142523919
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637142523929,1637142527438
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637142527448,1637142710414
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637142710486,1637142788806
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637142788859,1637142793988
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637142793998,1637142802217
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637142802229,1637142836974
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities_other,1637142836984,1637142854974
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637142854984,1637142863453
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637142863463,1637142864519
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637142864533,1637142867867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637142867877,1637142894168
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637142894179,1637142898218
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637142898232,1637143145298
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637143145370,1637143242574
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637143242637,1637143290330
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637143290341,1637143293594
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637143293604,1637143402033
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637143402084,1637143413163
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637143413180,1637143424881
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637143424890,1637143427706
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637143427717,1637143442674
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637143442685,1637143471285
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637143471300,1637143472876
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637143472890,1637143482588
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637143482598,1637143511088
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637143511099,1637143574029
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637143574043,1637143576914
end screen,,1637143576923,1637143637523
form save,,1637143638032,
form exit,,1637143638032,
form finalize,,1637143638033,
