event,node,start,end
form start,,1637149764798,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637149764800,1637149768334
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637149768344,1637149884460
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637149884478,1637149886350
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637149886361,1637149887899
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637149887912,1637149889679
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637149889693,1637149898191
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637149898202,1637149900458
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637149900469,1637149915015
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637149915025,1637149918107
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637149918169,1637149923466
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637149923477,1637149961163
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637149961236,1637149963798
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637149963809,1637149972230
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637149972241,1637149980573
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637149980582,1637149982839
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637149982849,1637149985987
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637149985996,1637149993051
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637149993061,1637150010612
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637150010624,1637150013588
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637150013597,1637150019814
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637150019824,1637150021702
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637150021711,1637150043162
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637150043172,1637150047105
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637150047116,1637150081617
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_status_other,1637150081626,1637150097043
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637150097052,1637150140379
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637150140390,1637150149233
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637150149246,1637150152210
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637150152220,1637150171132
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637150171141,1637150179790
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637150179800,1637150190235
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637150190245,1637150195921
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637150195931,1637150203449
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637150203459,1637150212910
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637150212921,1637150340728
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637150340813,1637150441113
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637150441170,1637150448951
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637150448961,1637150451969
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637150451979,1637150496549
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637150496559,1637150503114
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637150503123,1637150523058
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637150523078,1637150578618
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637150578630,1637150806137
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637150806195,1637150873922
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637150873979,1637150903081
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637150903093,1637150907780
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637150907791,1637150936874
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637150936928,1637150941592
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637150941605,1637150943687
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637150943697,1637150946874
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637150946884,1637150954971
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637150954981,1637150956838
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637150956852,1637150963636
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637150963646,1637150986366
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637150986376,1637150989700
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637150989710,1637151012507
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637151012520,1637151019279
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637151019290,1637151034173
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637151034183,1637151061345
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637151061355,1637151065770
question,/aR6PPMC6cqn8347ghKWeBk/coherence/time_resolve_complaint,1637151065781,1637151073615
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637151073628,1637151078080
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637151078092,1637151082717
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637151082726,1637151094041
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637151094050,1637151097818
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637151097828,1637151099810
question,/aR6PPMC6cqn8347ghKWeBk/coherence/time_resolve_complaint,1637151099820,1637151106731
question,/aR6PPMC6cqn8347ghKWeBk/coherence/satisfaction_complaint,1637151106740,1637151109561
question,/aR6PPMC6cqn8347ghKWeBk/coherence/time_resolve_complaint,1637151109570,1637151122407
question,/aR6PPMC6cqn8347ghKWeBk/coherence/satisfaction_complaint,1637151122417,1637151126413
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637151126428,1637151141331
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637151141341,1637151143027
end screen,,1637151143037,1637151170927
form save,,1637151171533,
form exit,,1637151171534,
form resume,,1637154007043,
jump,,1637154007044,1637154008636
end screen,,1637154008666,1637154010154
form save,,1637154010667,
form exit,,1637154010667,
form finalize,,1637154010667,
