event,node,start,end
form start,,1637738935607,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637738935608,1637738961065
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637738961079,1637739177362
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637739177372,1637739178977
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637739178991,1637739182348
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637739182358,1637739184697
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637739184709,1637739185485
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637739185495,1637739187044
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637739187053,1637739188926
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637739188938,1637739190747
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637739190758,1637739195261
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637739195269,1637739197087
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637739197102,1637739199657
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637739199666,1637739211673
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637739211682,1637739282986
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637739283051,1637739284111
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637739284122,1637739292296
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637739292305,1637739298856
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637739298870,1637739304226
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637739304238,1637739314008
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637739314017,1637739316275
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637739316283,1637739324615
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637739324627,1637739330614
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637739330623,1637739333630
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637739333642,1637739340331
