event,node,start,end
form start,,1637578539373,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637578539376,1637578542681
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637578542691,1637578634779
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637578634793,1637578636720
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637578636733,1637578638289
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637578638301,1637578643056
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637578643067,1637578651792
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637578651801,1637578654028
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637578654041,1637578665462
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637578665471,1637578712804
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637578712875,1637578755128
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637578755138,1637578761777
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637578761789,1637578769160
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637578769172,1637578772828
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637578772842,1637578787100
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637578787112,1637578788728
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637578788737,1637578808062
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637578808075,1637578825297
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637578825310,1637578828651
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637578828665,1637578840136
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637578840145,1637578845217
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_other,1637578845230,1637578850871
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637578850881,1637578862515
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637578862526,1637578968506
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637578968612,1637579033470
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637579033530,1637579050815
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637579050825,1637579060138
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637579060147,1637579080479
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637579080488,1637579084501
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637579084509,1637579105652
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637579105668,1637579118078
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637579118092,1637579310967
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637579311024,1637579433897
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637579433958,1637579466810
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637579466822,1637579470616
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637579470625,1637579472970
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637579472983,1637579476443
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637579476457,1637579527538
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637579527573,1637579538438
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637579538451,1637579542482
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637579542492,1637579559813
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637579559822,1637579575027
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637579575040,1637579587440
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637579587454,1637579593544
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637579593554,1637579595782
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637579595796,1637579612311
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637579612324,1637579642507
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637579642516,1637579644508
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637579644517,1637579674579
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637579674589,1637579675481
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637579675490,1637579691060
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637579691068,1637579707882
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637579707891,1637579709530
form save,,1637579709887,
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637579709888,1637579725941
end screen,,1637579725949,1637579743290
form save,,1637579743919,
form exit,,1637579743919,
form finalize,,1637579743919,
