event,node,start,end
form start,,1637654994807,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637654994809,1637655253978
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637655253987,1637655256186
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637655256194,1637655266862
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637655266870,1637655268880
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637655268890,1637655270578
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637655270586,1637655275675
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637655275688,1637655277416
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637655277426,1637655296308
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637655296316,1637655378582
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637655378640,1637655381286
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637655381294,1637655382805
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637655382817,1637655390883
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637655390893,1637655414546
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637655414558,1637655432024
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637655432032,1637655434110
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637655434121,1637655443103
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637655443117,1637655456757
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637655456765,1637655458681
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637655458691,1637655461435
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637655461443,1637655467040
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637655467053,1637655484097
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637655484109,1637655549681
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637655549771,1637655654288
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637655654350,1637655663929
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637655663939,1637655665913
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637655665924,1637655671158
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637655671167,1637655673666
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637655673678,1637655678385
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637655678401,1637655682372
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637655682381,1637655685072
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637655685082,1637655691925
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637655691937,1637655887595
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637655887652,1637655931287
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637655931337,1637655932619
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637655932627,1637655937236
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637655937287,1637655960329
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637655960338,1637655963913
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637655963926,1637655965492
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637655965505,1637655967069
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637655967083,1637655968585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637655968600,1637655969091
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637655969104,1637655977870
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637655977879,1637655981475
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637655981489,1637655990223
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637655990230,1637655993623
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637655993633,1637655996660
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637655996668,1637655997671
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637655997679,1637656002021
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637656002034,1637656127170
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637656127217,1637656130905
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637656130914,1637656138327
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637656138335,1637656139237
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637656139261,1637656143388
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637656143398,1637656154944
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637656154956,1637656156281
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637656156291,1637656177540
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637656177549,1637656178957
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637656178964,1637656180312
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637656180319,1637656181909
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637656181919,1637656183547
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637656183555,1637656191200
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637656191231,1637656192798
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637656192806,1637656194621
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637656194629,1637656195997
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637656196006,1637656198170
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637656198246,1637656199358
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637656199367,1637656211520
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637656211567,1637656212184
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637656212193,1637656212649
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637656212659,1637656213074
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637656213084,1637656214816
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637656214847,1637656215783
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637656215793,1637656216936
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637656216944,1637656217967
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637656217975,1637656218938
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637656218946,1637656236088
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637656236096,1637656239003
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637656239011,1637656243413
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637656243425,1637656248776
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637656248792,1637656250761
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637656250774,1637656254141
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637656254149,1637656270683
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637656270691,1637656271573
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637656271583,1637656292507
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637656292514,1637656301333
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637656301342,1637656303541
end screen,,1637656303549,1637656426313
form save,,1637656426941,
form exit,,1637656426941,
form finalize,,1637656426941,
