event,node,start,end
form start,,1637148320297,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637148320299,1637148323209
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637148323217,1637148325609
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637148325622,1637148328997
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637148329005,1637148335536
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637148335544,1637148495292
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637148495302,1637148498112
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637148498126,1637148500009
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637148500023,1637148505233
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637148505241,1637148507512
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637148507523,1637148520193
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637148520206,1637148609239
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637148609302,1637148610906
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637148610918,1637148636541
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637148636549,1637148644098
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637148644107,1637148656143
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637148656152,1637148682226
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637148682237,1637148684667
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637148684677,1637148692113
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637148692124,1637148693181
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637148693189,1637148701730
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637148701739,1637148708771
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637148708780,1637148717785
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637148717808,1637148721942
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637148721951,1637148750221
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637148750229,1637148918996
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637148919084,1637148993706
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637148993766,1637149025833
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637149025842,1637149032300
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637149032315,1637149072463
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637149072472,1637149085972
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637149085980,1637149103039
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637149103047,1637149107373
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637149107381,1637149119155
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637149119165,1637149147140
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637149147149,1637149213213
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637149213271,1637149219413
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637149219426,1637149300651
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637149300706,1637149362627
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637149362680,1637149415556
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637149415566,1637149429650
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637149429659,1637149490393
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637149490433,1637149495229
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637149495237,1637149517313
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637149517322,1637149533619
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637149533627,1637149540346
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637149540354,1637149550920
