event,node,start,end
form start,,1638187246970,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638187246972,1638187415622
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638187415630,1638187609246
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638187609254,1638187611041
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638187611050,1638187615015
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638187615026,1638187616539
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638187616549,1638187618090
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638187618098,1638187619735
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638187619745,1638187622362
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638187622370,1638187625304
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638187625312,1638187684899
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638187684907,1638187925171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638187925229,1638187926256
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638187926264,1638187931543
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638187931552,1638187941934
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638187941943,1638187945075
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638187945083,1638187958259
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638187958268,1638187960120
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638187960128,1638187968615
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638187968624,1638187975881
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638187975889,1638187977209
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638187977219,1638187981166
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638187981176,1638187992554
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638187992562,1638187995980
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638187995990,1638188096715
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638188096789,1638188161525
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638188161575,1638188164115
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638188164124,1638188165961
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638188165969,1638188185061
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638188185070,1638188187639
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638188187647,1638188190484
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638188190492,1638188211497
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_edu,1638188211506,1638188213275
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638188213283,1638188215187
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638188215196,1638188216481
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_edu,1638188216491,1638188217595
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638188217604,1638188218742
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638188218752,1638188229299
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638188229308,1638188406366
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638188406420,1638188512259
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638188512303,1638188540353
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1638188540361,1638188541499
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638188541508,1638188542613
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1638188542623,1638188543794
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638188543803,1638188585587
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638188585613,1638188587631
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638188587641,1638188594248
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638188594256,1638188605004
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638188605014,1638188606134
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638188606144,1638188608113
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638188608123,1638188615826
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638188615835,1638188618753
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638188618761,1638188625434
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts_other,1638188625443,1638188635741
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638188635750,1638188640813
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1638188640824,1638188642375
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638188642384,1638188646713
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1638188646721,1638188649589
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638188649597,1638188656689
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638188656697,1638188664867
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638188664875,1638188665981
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638188665988,1638188668940
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance_other,1638188668948,1638188757381
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638188757389,1638188758311
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638188758319,1638188780521
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638188780529,1638188796878
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638188796887,1638188797793
end screen,,1638188797801,1638188818036
form save,,1638188818210,
form exit,,1638188818210,
form resume,,1638190121515,
jump,,1638190121515,1638190126424
end screen,,1638190126446,1638190127565
form save,,1638190127802,
form exit,,1638190127802,
form finalize,,1638190127802,
