event,node,start,end
form start,,1637741734773,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637741734774,1637741740306
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637741740315,1637741742265
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637741742277,1637741924089
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637741924097,1637741926930
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637741926942,1637741934396
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637741934404,1637741937238
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637741937246,1637741939073
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637741939084,1637741944115
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637741944123,1637741946116
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637741946183,1637741949120
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637741949131,1637742007517
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637742007578,1637742009005
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637742009013,1637742014087
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637742014096,1637742024237
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637742024248,1637742030627
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637742030636,1637742047433
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637742047444,1637742050339
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637742050349,1637742064007
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637742064016,1637742079885
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637742079894,1637742082507
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637742082520,1637742098404
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637742098414,1637742102841
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637742102858,1637742111356
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637742111366,1637742112787
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637742112795,1637742115126
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637742115135,1637742134440
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637742134450,1637742161219
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637742161232,1637742299536
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637742299614,1637742366469
