event,node,start,end
form start,,1637493549722,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637493549723,1637493569401
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637493569416,1637493607848
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637493607867,1637493609440
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637493609455,1637493611033
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637493611043,1637493612409
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637493612422,1637493616434
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637493616442,1637493617972
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637493617983,1637493627948
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637493627973,1637493630435
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637493630499,1637493635052
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637493635061,1637493704466
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637493704534,1637493706085
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637493706094,1637493710025
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637493710034,1637493715014
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637493715027,1637493724081
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637493724090,1637493736523
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637493736533,1637493741386
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637493741396,1637493747176
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637493747189,1637493755136
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637493755150,1637493757086
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637493757107,1637493760001
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637493760009,1637493785238
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637493785250,1637493788176
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637493788185,1637493930528
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637493930607,1637493995365
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637493995417,1637494015473
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637494015485,1637494016909
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637494016924,1637494072776
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637494072791,1637494077821
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637494077830,1637494093381
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637494093392,1637494106537
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637494106554,1637494124218
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637494124227,1637494155897
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637494155906,1637494157618
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637494157628,1637494158993
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637494159005,1637494191287
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637494191297,1637494397672
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637494397738,1637494468341
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637494468393,1637494494303
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637494494314,1637494517461
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637494517470,1637494572652
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637494572694,1637494586331
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637494586340,1637494606075
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637494606089,1637494619944
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637494619954,1637494622798
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637494622809,1637494629160
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637494629169,1637494636466
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637494636475,1637494646232
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637494646243,1637494657802
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637494657816,1637494672298
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637494672310,1637494676357
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637494676366,1637494701616
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637494701630,1637494789316
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637494789331,1637494790977
end screen,,1637494790987,1637494904558
form save,,1637494905217,
form exit,,1637494905217,
form finalize,,1637494905218,
