event,node,start,end
form start,,1637577701840,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637577701841,1637577713826
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637577713835,1637577728727
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637577728737,1637577731852
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637577731865,1637577734128
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637577734136,1637577735708
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637577735719,1637577736536
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637577736544,1637577737893
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637577737909,1637577741575
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637577741586,1637577742952
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637577742963,1637577776435
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637577776444,1637577817823
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637577817882,1637577825630
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637577825639,1637577827659
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637577827718,1637577828946
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637577828955,1637577841767
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637577841775,1637577844480
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637577844488,1637577845572
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637577845580,1637577857241
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637577857253,1637577860014
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637577860037,1637577862401
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637577862409,1637577878921
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637577878929,1637577889761
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637577889768,1637577891441
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637577891449,1637577904335
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637577904344,1637577944431
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637577944440,1637577948237
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637577948253,1637577953740
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637577953753,1637577956798
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637577956810,1637577960722
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637577960732,1637577970019
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637577970030,1637577973191
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637577973243,1637577974613
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637577974629,1637578053500
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637578053687,1637578101959
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637578102036,1637578116992
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637578117005,1637578120268
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637578120276,1637578125611
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637578125625,1637578131051
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637578131062,1637578132979
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637578132992,1637578134662
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637578134675,1637578138420
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637578138432,1637578142527
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637578142537,1637578321935
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637578321991,1637578396779
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637578396832,1637578406440
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637578406452,1637578408059
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637578408073,1637578410650
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637578410659,1637578412573
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637578412586,1637578450967
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637578451005,1637578454528
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637578454541,1637578461871
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637578461884,1637578475051
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637578475064,1637578476325
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637578476337,1637578483565
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637578483582,1637578514030
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637578514039,1637578532235
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637578532248,1637578534300
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637578534314,1637578543715
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637578543729,1637578544966
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637578544975,1637578592889
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637578592903,1637581062845
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637581062861,1637581063715
end screen,,1637581063724,1637581091069
form save,,1637581091943,
form exit,,1637581091943,
form finalize,,1637581091943,
