event,node,start,end
form start,,1637835032809,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637835032810,1637835087786
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637835087795,1637835102798
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637835102807,1637835104194
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637835104209,1637835105488
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637835105499,1637835106863
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637835106873,1637835109796
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637835109804,1637835111335
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637835111347,1637835117953
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637835117961,1637835150582
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637835150640,1637835152071
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637835152084,1637835155470
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637835155482,1637835167029
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637835167037,1637835170246
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637835170257,1637835177451
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637835177459,1637835178947
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637835178955,1637835198319
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637835198331,1637835213320
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637835213332,1637835218377
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637835218386,1637835227932
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637835227948,1637835229530
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637835229543,1637835231148
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637835231160,1637835245936
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637835245949,1637835314841
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637835314996,1637835326454
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637835326499,1637835333842
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637835333947,1637835362932
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637835362983,1637835366181
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637835366194,1637835368060
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637835368071,1637835385391
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637835385403,1637835387718
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637835387731,1637835414917
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637835414926,1637835425574
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637835425585,1637835562506
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637835562566,1637835607713
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637835607766,1637835650178
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637835650190,1637835651514
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637835651525,1637835652870
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637835652883,1637835654328
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637835654338,1637835680700
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637835680741,1637835682375
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637835682384,1637835697561
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637835697574,1637835708399
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637835708413,1637835709653
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637835709665,1637835711657
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637835711668,1637835722700
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637835722710,1637835729360
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637835729372,1637835738098
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637835738110,1637835740808
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637835740821,1637835751784
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637835751795,1637835752633
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637835752650,1637835754171
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance_other,1637835754180,1637835762604
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637835762612,1637835763695
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637835763703,1637835764484
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637835764493,1637835765373
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance_other,1637835765382,1637835771037
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637835771046,1637835771948
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637835771956,1637835783351
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637835783361,1637835803697
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637835803705,1637835804850
end screen,,1637835804858,1637836238243
form save,,1637836238772,
form exit,,1637836238772,
