event,node,start,end
form start,,1637142040660,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637142040661,1637142060415
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637142060424,1637142113871
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637142113880,1637142115723
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637142115732,1637142117461
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637142117470,1637142119042
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637142119053,1637142121790
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637142121799,1637142127555
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637142127564,1637142132538
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637142132546,1637142171992
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637142172067,1637142173293
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637142173302,1637142184640
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637142184652,1637142219895
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637142219904,1637142226621
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637142226633,1637142253632
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637142253641,1637142255478
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637142255490,1637142282252
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637142282263,1637142286800
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637142286810,1637142288712
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637142288726,1637142291174
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637142291183,1637142299790
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637142299801,1637142304611
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637142304620,1637142373861
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637142373971,1637142420635
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637142420716,1637142446122
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637142446132,1637142447044
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637142447053,1637142448952
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637142448962,1637142451946
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637142451955,1637142495683
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637142495692,1637142501545
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637142501560,1637142519478
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637142519488,1637142532188
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637142532197,1637142535138
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637142535146,1637142540757
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637142540766,1637142559469
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637142559482,1637142745431
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637142745498,1637142865608
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637142865663,1637142894435
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637142894446,1637142897472
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637142897484,1637142940450
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637142940481,1637142943931
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637142943945,1637142980793
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637142980803,1637142995746
