event,node,start,end
form start,,1638089095589,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638089095590,1638089129311
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638089129322,1638089369076
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638089369087,1638089370922
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638089370931,1638089372748
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638089372757,1638089374561
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638089374571,1638089379464
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638089379472,1638089380993
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638089381001,1638089387610
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638089387618,1638089451143
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638089451202,1638089455718
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638089455725,1638089463960
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638089464013,1638089464830
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638089464838,1638089469118
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638089469126,1638089477082
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638089477090,1638089487288
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638089487297,1638089496963
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638089496972,1638089498459
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638089498468,1638089510479
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638089510487,1638089516098
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638089516107,1638089517744
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638089517753,1638089522415
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638089522424,1638089524809
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638089524818,1638089529065
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638089529074,1638089530761
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638089530770,1638089532506
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638089532515,1638089534950
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638089534958,1638089535864
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638089535873,1638089538691
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638089538702,1638089603085
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638089603181,1638089644738
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638089644780,1638089657652
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638089657661,1638089664934
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638089664942,1638089687560
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638089687568,1638089696170
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638089696179,1638089697653
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638089697662,1638089721891
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1638089721900,1638089724415
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638089724425,1638089725645
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638089725654,1638089734956
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638089734964,1638089754174
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638089754229,1638089761339
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638089761349,1638089910076
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638089910130,1638089959749
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638089959790,1638089984151
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638089984159,1638089985647
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638089985657,1638089990636
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638089990666,1638089992646
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638089992654,1638090010418
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638090010445,1638090012727
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638090012738,1638090016734
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638090016742,1638090019993
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638090020001,1638090031945
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638090031952,1638090033640
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638090033649,1638090040390
