event,node,start,end
form start,,1637140607144,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637140607146,1637140717007
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637140717020,1637140912530
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637140912539,1637140914399
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637140914408,1637140916082
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637140916091,1637140917991
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637140918000,1637140923185
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637140923194,1637140925749
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637140925758,1637140929422
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637140929435,1637140980701
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637140980770,1637140981955
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637140981964,1637141003552
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637141003561,1637141005932
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637141005946,1637141010321
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637141010330,1637141023029
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637141023041,1637141024834
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637141024843,1637141034187
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637141034199,1637141042891
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637141042900,1637141048983
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637141048991,1637141057893
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637141057901,1637141066158
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637141066168,1637141084260
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637141084269,1637141088140
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637141088203,1637141091931
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637141091940,1637141100121
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637141100131,1637141203620
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637141203715,1637141246836
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637141246899,1637141263505
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637141263515,1637141278961
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637141278975,1637141298887
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637141298899,1637141311345
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637141311354,1637141325918
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637141325927,1637141332991
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637141333001,1637141340452
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637141340460,1637141342831
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637141342839,1637141348635
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637141348644,1637141531379
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637141531446,1637141615504
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637141615571,1637141636343
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637141636352,1637141640592
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637141640602,1637141680490
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637141680537,1637141684219
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637141684228,1637141694781
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637141694791,1637141698635
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637141698645,1637141704156
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637141704165,1637141705652
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637141705664,1637141706452
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637141706461,1637141708952
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637141708964,1637141724952
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637141724961,1637141736810
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637141736819,1637141743800
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637141743811,1637141752296
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637141752304,1637141762157
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637141762166,1637141767306
question,/aR6PPMC6cqn8347ghKWeBk/coherence/time_resolve_complaint,1637141767316,1637141779830
question,/aR6PPMC6cqn8347ghKWeBk/coherence/satisfaction_complaint,1637141779839,1637141786415
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637141786423,1637141798787
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637141798796,1637141799934
end screen,,1637141799949,1637142033535
form save,,1637142034364,
form exit,,1637142034364,
form finalize,,1637142034364,
form resume,,1637153310724,
jump,,1637153310724,1637153311818
end screen,,1637153311848,1637153327050
form save,,1637153328056,
form exit,,1637153328056,
form finalize,,1637153328056,
form resume,,1637153405242,
jump,,1637153405242,1637153406510
end screen,,1637153406536,1637153423408
form save,,1637153424123,
form exit,,1637153424123,
form finalize,,1637153424124,
