event,node,start,end
form start,,1637832079818,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637832079819,1637832097354
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637832097363,1637832162108
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637832162118,1637832163862
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637832163878,1637832165600
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637832165610,1637832167736
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637832167750,1637832169873
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637832169882,1637832171762
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637832171776,1637832175274
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637832175282,1637832177327
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637832177336,1637832180901
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637832180910,1637832218545
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637832218554,1637832223044
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637832223100,1637832223777
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637832223789,1637832224805
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637832224814,1637832225728
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637832225740,1637832226755
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637832226764,1637832227495
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637832227509,1637832228151
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637832228161,1637832229282
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637832229293,1637832253018
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637832253083,1637832254160
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637832254169,1637832259598
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637832259607,1637832266558
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637832266567,1637832268815
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637832268828,1637832278006
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637832278015,1637832279834
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637832279843,1637832288171
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637832288186,1637832290715
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637832290729,1637832295146
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637832295155,1637832298781
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637832298793,1637832301714
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637832301723,1637832303602
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637832303612,1637832307174
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637832307183,1637832382257
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637832382347,1637832419244
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637832419297,1637832432684
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637832432696,1637832437564
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637832437572,1637832439453
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637832439461,1637832443661
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637832443675,1637832482446
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637832482458,1637832485442
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637832485453,1637832488814
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637832488823,1637832494887
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637832494897,1637832504281
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637832504294,1637832510475
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637832510487,1637832511808
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637832511817,1637832519610
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637832519623,1637832521599
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637832521616,1637832531670
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637832531681,1637832671586
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637832671645,1637832737211
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637832737259,1637832759992
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637832760003,1637832762574
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637832762583,1637832765095
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637832765104,1637832770348
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637832770360,1637832795379
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637832795417,1637832800695
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637832800706,1637832807371
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637832807380,1637832821148
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637832821160,1637832831281
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637832831291,1637832833229
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637832833238,1637832845009
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637832845021,1637832849951
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637832849967,1637832852169
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637832852178,1637832854714
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637832854727,1637832856910
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637832856925,1637832872366
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637832872375,1637832873269
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637832873279,1637832900782
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637832900791,1637832911302
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637832911311,1637832912349
end screen,,1637832912357,1637833443670
form save,,1637833444382,
form exit,,1637833444382,
form finalize,,1637833444382,
