event,node,start,end
form start,,1638170599339,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638170599342,1638170602882
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638170602899,1638170605292
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638170605302,1638170606935
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638170606943,1638170609033
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638170609043,1638170712311
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638170712319,1638170714356
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638170714365,1638170715869
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638170715877,1638170732743
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638170732752,1638170810489
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638170810549,1638170813319
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638170813328,1638170820463
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638170820520,1638170821531
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638170821540,1638170830458
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638170830467,1638170832952
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638170832961,1638170845454
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638170845464,1638170855544
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638170855553,1638170856426
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638170856435,1638170857539
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638170857548,1638170858271
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638170858281,1638170859801
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638170859810,1638170867131
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638170867140,1638170884288
