event,node,start,end
form start,,1637566036052,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637566036055,1637566037549
jump,,1637566037549,1637566038922
end screen,,1637566038961,1637566040584
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637566040585,1637566044627
jump,,1637566044628,1637566046044
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637566046085,1637566052472
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637566052481,1637566054463
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637566054472,1637566056192
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637566056201,1637566057929
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637566057942,1637566059529
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637566059543,1637566061662
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637566061672,1637566063466
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637566063475,1637566066626
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637566066635,1637566098024
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637566098088,1637566100056
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637566100065,1637566105704
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637566105712,1637566113195
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637566113205,1637566114632
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637566114645,1637566116767
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637566116777,1637566118574
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637566118583,1637566121265
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637566121274,1637566123894
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637566123907,1637566126379
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637566126391,1637566128494
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637566128508,1637566131555
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637566131568,1637566133937
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637566133949,1637566183637
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637566183738,1637566199436
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637566199496,1637566202897
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637566202906,1637566204395
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637566204412,1637566208277
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637566208292,1637566210310
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637566210323,1637566211712
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637566211727,1637566215000
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637566215017,1637566216656
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637566216669,1637566217948
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637566217961,1637566220617
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637566220626,1637566246033
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637566246101,1637566249919
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637566249974,1637566255612
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637566255679,1637566276764
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637566276825,1637566280166
