event,node,start,end
form start,,1637664315758,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637664315760,1637664318897
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637664318906,1637664475179
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637664475189,1637664478588
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637664478598,1637664480354
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637664480368,1637664482324
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637664482336,1637664484664
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637664484675,1637664487045
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637664487055,1637664493756
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637664493764,1637664497697
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637664497707,1637664502313
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637664502326,1637664505577
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637664505588,1637664540313
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637664540371,1637664541375
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637664541385,1637664545396
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637664545405,1637664548064
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637664548074,1637664551571
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637664551580,1637664558569
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637664558580,1637664560640
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637664560653,1637664562342
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637664562357,1637664564064
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637664564081,1637664566463
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637664566480,1637664571470
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637664571480,1637664574773
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637664574788,1637664580436
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637664580445,1637664592486
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637664592496,1637664596158
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637664596168,1637664601024
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637664601033,1637664602767
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637664602775,1637664605165
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637664605174,1637664605842
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637664605852,1637664613144
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637664613156,1637664616038
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637664616048,1637664619216
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637664619225,1637664625513
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637664625530,1637664631118
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637664631128,1637664634772
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637664634782,1637664715968
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637664716109,1637664760008
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637664760063,1637664774208
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637664774217,1637664784120
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637664784130,1637664804898
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637664804913,1637664809038
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637664809048,1637664813432
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637664813441,1637664819363
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637664819376,1637664820874
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637664820883,1637664825924
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637664825935,1637664827994
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637664828009,1637664829553
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637664829566,1637664835032
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637664835044,1637664989838
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637664989906,1637665042071
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637665042146,1637665073209
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637665073219,1637665076130
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637665076179,1637665078154
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637665078164,1637665080737
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637665080746,1637665107609
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637665107656,1637665114502
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637665114517,1637665120674
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637665120683,1637665129519
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637665129528,1637665141658
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637665141669,1637665142560
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637665142570,1637665144059
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637665144073,1637665145783
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637665145795,1637665156494
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637665156503,1637665160208
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637665160217,1637665166279
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637665166295,1637665169069
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637665169083,1637665173318
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637665173327,1637665175454
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637665175463,1637665179989
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637665180002,1637665182489
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637665182501,1637665192802
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637665192811,1637665193889
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637665193898,1637665243282
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637665243291,1637665254629
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637665254640,1637665255654
end screen,,1637665255662,1637665275875
jump,,1637665275876,1637665279180
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637665279206,1637665280758
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637665280767,1637665281661
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637665281672,1637665282750
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637665282758,1637665283547
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637665283556,1637665284407
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637665284416,1637665285473
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637665285483,1637665286765
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637665286774,1637665287605
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637665287614,1637665288671
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637665288681,1637665289635
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637665289645,1637665290516
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637665290525,1637665291213
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637665291222,1637665292361
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637665292370,1637665294397
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637665294454,1637665295497
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637665295506,1637665296625
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637665296634,1637665297650
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637665297659,1637665298859
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637665298868,1637665304191
jump,,1637665304191,1637665307679
end screen,,1637665307736,1637665435082
jump,,1637665435083,1637665446017
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637665446043,1637665448378
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637665448387,1637665449344
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637665449353,1637665450287
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637665450296,1637665451127
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637665451138,1637665451989
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637665451999,1637665453095
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637665453104,1637665454407
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637665454416,1637665455453
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637665455461,1637665456457
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637665456466,1637665457851
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637665457866,1637665459061
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637665459070,1637665465141
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637665465206,1637665466077
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637665466088,1637665467145
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637665467153,1637665471434
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637665471443,1637665472911
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637665472919,1637665473895
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637665473904,1637665474797
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637665474814,1637665476047
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637665476057,1637665476867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637665476877,1637665479246
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637665479255,1637665480293
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637665480302,1637665481278
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637665481289,1637665482407
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637665482416,1637665483228
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637665483238,1637665484931
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637665484946,1637665486799
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637665486811,1637665489552
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637665489564,1637665495702
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637665495788,1637665500753
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637665500802,1637665502227
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637665502236,1637665503622
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637665503630,1637665506189
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637665506199,1637665507398
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637665507407,1637665508779
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637665508797,1637665516711
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637665516721,1637665525634
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637665525652,1637665527253
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637665527262,1637665534101
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637665534110,1637665539032
jump,,1637665539033,1637665542882
end screen,,1637665543018,1637665548157
form save,,1637665548828,
form exit,,1637665548828,
form finalize,,1637665548828,
