event,node,start,end
form start,,1637564000086,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637564000095,1637564009851
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637564009878,1637564011966
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637564011987,1637564013698
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637564013722,1637564015455
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637564015472,1637564017508
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637564017525,1637564024518
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637564024529,1637564026279
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637564026295,1637564029631
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637564029651,1637564032917
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637564033018,1637564035843
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637564035853,1637564156111
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637564156180,1637564158915
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637564158931,1637564165658
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637564165670,1637564175806
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637564175818,1637564183589
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637564183598,1637564189725
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637564189735,1637564192592
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637564192603,1637564202541
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637564202556,1637564222118
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637564222135,1637564227186
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637564227197,1637564232501
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637564232517,1637564237843
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637564237858,1637564242240
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637564242251,1637564441168
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637564441277,1637564538943
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637564538996,1637564554534
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637564554549,1637564571152
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637564571163,1637564604349
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637564604367,1637564621012
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637564621028,1637564626935
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637564626946,1637564657717
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637564657730,1637564661629
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637564661641,1637564673153
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_shock_ineffective_shelter,1637564673164,1637564681601
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637564681614,1637564684992
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637564685009,1637564714006
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637564714019,1637564955518
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637564955600,1637565013310
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637565013376,1637565063817
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637565063828,1637565066518
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637565066528,1637565069509
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637565069521,1637565083549
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637565083563,1637565139190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637565139224,1637565142328
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637565142341,1637565167311
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637565167324,1637565180063
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637565180084,1637565186589
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637565186601,1637565187195
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637565187208,1637565189537
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637565189555,1637565190539
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637565190549,1637565203079
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637565203092,1637565205151
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637565205167,1637565209669
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637565209681,1637565236230
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637565236245,1637565242488
