event,node,start,end
form start,,1637573516356,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637573516358,1637573600056
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637573600070,1637573601658
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637573601669,1637573607761
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637573607771,1637573609215
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637573609231,1637573610674
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637573610683,1637573613369
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637573613379,1637573614827
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637573614836,1637573617219
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637573617230,1637573766433
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637573766494,1637573767987
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637573767999,1637573773718
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637573773732,1637573781598
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637573781610,1637573806543
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637573806551,1637573824452
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637573824461,1637573826640
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637573826654,1637573836101
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637573836114,1637573846300
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637573846309,1637573848792
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637573848801,1637573855074
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637573855088,1637573865919
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637573865929,1637573870539
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637573870548,1637574063840
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637574063920,1637574161853
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637574161901,1637574184137
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637574184147,1637574186202
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637574186214,1637574237485
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637574237497,1637574250477
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637574250486,1637574266345
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637574266354,1637574286293
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637574286302,1637574452236
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637574452313,1637574548632
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637574548687,1637574599276
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637574599286,1637574608454
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637574608463,1637574644883
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637574644932,1637574658978
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637574658988,1637574672507
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637574672518,1637574686650
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637574686659,1637574693798
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637574693809,1637574698195
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637574698204,1637574710894
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637574710903,1637574716257
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637574716267,1637574730475
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637574730484,1637574749400
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637574749410,1637574750451
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637574750461,1637574784718
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637574784726,1637574805756
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637574805764,1637574806808
end screen,,1637574806816,1637574854458
form save,,1637574855095,
form exit,,1637574855095,
form finalize,,1637574855095,
