event,node,start,end
form start,,1638187314688,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638187314689,1638187317845
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638187317854,1638187320472
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638187320480,1638187322826
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638187322836,1638187329116
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638187329124,1638187462419
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638187462430,1638187467836
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638187467846,1638187470047
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638187470056,1638187474303
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638187474311,1638187482515
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638187482523,1638187530593
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638187530604,1638187687112
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638187687177,1638187688813
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638187688823,1638187689854
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638187689918,1638187691156
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638187691165,1638187692250
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638187692312,1638187693551
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638187693559,1638187700748
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638187700757,1638187702893
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638187702903,1638187713898
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638187713908,1638187760394
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638187760403,1638187763602
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638187763612,1638187768689
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638187768698,1638187780758
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638187780768,1638187784565
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638187784572,1638187799810
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638187799818,1638187816251
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638187816262,1638187818067
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638187818076,1638187993258
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638187993349,1638188040813
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638188040854,1638188046661
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638188046670,1638188066098
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638188066146,1638188076552
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638188076561,1638188078364
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638188078372,1638188142600
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638188142610,1638188160088
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638188160098,1638188171160
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638188171168,1638188171992
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638188172000,1638188172789
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638188172799,1638188174485
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638188174493,1638188209181
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638188209190,1638188218359
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638188218368,1638188221532
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638188221541,1638188232487
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638188232496,1638188403069
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638188403125,1638188498690
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638188498740,1638188522678
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638188522686,1638188524107
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638188524115,1638188583273
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638188583302,1638188585898
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638188585908,1638188617085
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638188617094,1638188653272
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638188653280,1638188654619
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638188654629,1638188656780
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638188656790,1638188662149
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638188662159,1638188664310
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638188664319,1638188669131
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1638188669140,1638188670826
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1638188670835,1638188673037
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638188673046,1638188679804
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638188679813,1638188682364
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638188682373,1638188764778
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638188764787,1638188783713
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638188783721,1638188785342
end screen,,1638188785350,1638188799400
form save,,1638188799641,
form exit,,1638188799641,
form finalize,,1638188799641,
