event,node,start,end
form start,,1637747584050,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637747584052,1637747626263
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637747626272,1637747633988
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637747633999,1637747652420
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637747652432,1637747656842
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637747656851,1637747658374
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637747658384,1637747663037
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637747663046,1637747664784
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637747664795,1637747669395
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637747669407,1637747672343
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637747672351,1637747676935
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637747676945,1637747678934
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637747678944,1637747680955
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637747680967,1637747683457
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637747683467,1637747744459
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637747744517,1637747746014
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637747746024,1637747783250
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637747783305,1637747784664
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637747784673,1637747799804
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637747799816,1637747813517
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637747813526,1637747815454
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637747815466,1637747818844
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637747818852,1637747822108
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637747822120,1637747830596
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637747830608,1637747843200
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637747843211,1637747849260
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637747849273,1637747853725
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637747853734,1637747866454
