event,node,start,end
form start,,1637137051456,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637137051457,1637137069506
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637137069515,1637137104633
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637137104642,1637137106446
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637137106455,1637137108102
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637137108114,1637137109826
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637137109840,1637137113663
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637137113672,1637137115345
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637137115357,1637137123056
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637137123065,1637137179008
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637137179066,1637137180478
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637137180487,1637137185831
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637137185846,1637137196296
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637137196305,1637137202454
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637137202476,1637137214286
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637137214302,1637137217467
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637137217475,1637137229300
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637137229314,1637137240937
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637137240948,1637137242864
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637137242873,1637137254388
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637137254400,1637137266497
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637137266508,1637137269924
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637137269934,1637137289708
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637137289769,1637137311223
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637137311237,1637137418253
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637137418386,1637137471825
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637137471877,1637137488070
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637137488103,1637137499981
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637137499990,1637137526378
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637137526388,1637137539187
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637137539196,1637137561334
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637137561344,1637137574537
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637137574551,1637137688614
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637137688684,1637137799341
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637137799407,1637137836317
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637137836326,1637137837547
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637137837557,1637137838533
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637137838541,1637137860077
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637137860086,1637137904040
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637137904085,1637137916247
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637137916256,1637137925355
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637137925364,1637137935635
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637137935647,1637137938032
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637137938041,1637137944125
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637137944135,1637137946276
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637137946286,1637137948614
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637137948622,1637137970055
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637137970063,1637137977069
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637137977078,1637138009905
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637138009915,1637138055809
end screen,,1637138055817,1637138078666
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637138078666,1637138079692
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637138079703,1637138080739
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637138080748,1637138134971
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637138134981,1637138135976
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637138135993,1637138137616
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637138137631,1637138139297
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637138139305,1637138142742
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637138142751,1637138143912
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637138143920,1637138145000
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637138145008,1637138148038
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637138148071,1637138150354
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637138150366,1637138151563
