event,node,start,end
form start,,1638180141811,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638180141812,1638180144440
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638180144449,1638180264296
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638180264304,1638180266393
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1638180266402,1638180268037
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638180268045,1638180269683
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638180269690,1638180278326
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638180278335,1638180281852
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638180281861,1638180283962
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638180283971,1638180332225
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638180332287,1638180333336
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638180333345,1638180346066
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638180346135,1638180347184
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638180347192,1638180357241
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638180357251,1638180370075
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638180370084,1638180377872
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638180377881,1638180390822
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638180390832,1638180392551
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638180392560,1638180412101
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638180412114,1638180419350
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638180419360,1638180421112
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638180421120,1638180424686
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638180424696,1638180436206
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638180436215,1638180438054
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638180438063,1638180569938
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638180570005,1638180664441
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638180664478,1638180676908
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638180676916,1638180700413
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638180700424,1638180737288
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638180737299,1638180756389
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638180756397,1638180779051
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638180779059,1638180781627
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638180781636,1638180782921
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638180782929,1638180784135
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638180784145,1638180800428
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638180800436,1638181005971
