event,node,start,end
form start,,1637569234341,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637569234343,1637570214274
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637570214283,1637570494609
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637570494619,1637570496314
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637570496329,1637570497630
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc_no,1637570497643,1637570498460
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637570498470,1637570499900
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637570499912,1637570501460
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637570501473,1637570508084
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637570508093,1637570509642
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637570509655,1637570529049
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637570529061,1637570576333
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637570576393,1637570577624
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637570577635,1637570579530
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637570579544,1637570582407
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637570582417,1637570593311
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637570593326,1637570602543
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637570602552,1637570604165
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637570604174,1637570610873
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637570610891,1637570618140
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637570618149,1637570619519
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637570619530,1637570634669
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637570634678,1637570655119
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637570655130,1637570660587
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637570660596,1637570807656
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637570807790,1637570876840
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637570876886,1637570899224
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637570899233,1637570900599
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637570900614,1637570915721
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637570915731,1637570932864
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637570932873,1637570950491
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637570950502,1637570952848
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637570952857,1637570968228
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637570968238,1637570970214
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637570970223,1637570975175
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637570975188,1637570996559
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637570996572,1637571168467
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637571168523,1637571255706
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637571255760,1637571276275
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637571276284,1637571283321
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637571283332,1637571328474
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637571328526,1637571336796
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637571336807,1637571347939
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637571347948,1637571360765
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637571360775,1637571365500
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637571365509,1637571369954
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637571369964,1637571392615
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637571392630,1637571398306
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637571398315,1637571405694
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637571405710,1637571418188
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637571418197,1637571419322
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637571419334,1637571449768
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637571449780,1637571468151
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637571468161,1637571469406
end screen,,1637571469415,1637571517971
form save,,1637571518488,
form exit,,1637571518488,
form finalize,,1637571518488,
