event,node,start,end
form start,,1638091248644,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638091248645,1638091316884
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638091316892,1638091358387
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638091358395,1638091365306
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638091365315,1638091366582
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638091366591,1638091367945
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638091367954,1638091382359
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638091382367,1638091384853
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638091384862,1638091388642
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638091388651,1638091436366
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638091436422,1638091437533
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638091437540,1638091438216
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638091438224,1638091439513
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638091439520,1638091441475
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638091441485,1638091451748
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638091451760,1638091461539
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638091461550,1638091463867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638091463875,1638091471581
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638091471590,1638091485279
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638091485287,1638091486093
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638091486101,1638091494422
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638091494430,1638091496167
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638091496175,1638091500989
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638091500997,1638091520156
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638091520165,1638091523348
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638091523357,1638091524080
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638091524088,1638091529599
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638091529607,1638091543963
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638091543971,1638091546157
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638091546165,1638091547486
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638091547494,1638091551077
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638091551085,1638091554021
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638091554031,1638091556065
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638091556116,1638091560187
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638091560195,1638091567868
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638091567877,1638091636900
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638091637002,1638091706649
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638091706693,1638091708408
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638091708416,1638091710054
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638091710062,1638091719148
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638091719158,1638091722289
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638091722298,1638091740912
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638091740920,1638091756801
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638091756812,1638091948996
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638091949044,1638092017452
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638092017504,1638092049501
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1638092049510,1638092050881
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638092050889,1638092055054
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1638092055064,1638092058097
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638092058107,1638092059361
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1638092059387,1638092060723
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638092060733,1638092099275
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638092099305,1638092102467
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638092102476,1638092110347
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638092110355,1638092116065
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638092116073,1638092120371
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638092120382,1638092129380
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638092129391,1638092132057
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638092132066,1638092134102
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638092134110,1638092139122
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638092139130,1638092146271
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638092146279,1638092155232
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638092155240,1638092174748
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638092174757,1638092175712
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638092175720,1638092220946
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638092220955,1638092245916
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638092245925,1638092246714
end screen,,1638092246721,1638092411214
form save,,1638092411449,
form exit,,1638092411449,
form finalize,,1638092411449,
