event,node,start,end
form start,,1637832392139,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637832392140,1637832394896
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637832394905,1637832396975
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637832396985,1637832586450
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637832586460,1637832592543
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637832592555,1637832594238
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637832594248,1637832598531
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637832598539,1637832600853
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637832600861,1637832607775
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637832607784,1637832660722
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637832660805,1637832661816
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637832661826,1637832663570
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637832663585,1637832669740
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637832669748,1637832677892
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637832677900,1637832700975
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637832700983,1637832702831
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637832702841,1637832710939
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637832710947,1637832724376
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637832724385,1637832729583
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637832729592,1637832736620
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637832736628,1637832747776
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637832747784,1637832767633
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637832767642,1637832770316
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637832770325,1637832957327
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637832957458,1637833044486
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637833044533,1637833053180
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637833053189,1637833056387
