event,node,start,end
form start,,1637146106056,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637146106058,1637146109112
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637146109121,1637146112842
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637146112851,1637146115797
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637146115808,1637146119113
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637146119126,1637146422457
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637146422468,1637146430876
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637146430887,1637146431927
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637146431936,1637146433759
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637146433770,1637146435998
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637146436011,1637146442329
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637146442337,1637146450185
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637146450193,1637146474334
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637146474342,1637146506946
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637146507002,1637146508271
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637146508281,1637146516832
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637146516846,1637146534079
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637146534087,1637146537346
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637146537360,1637146541660
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637146541668,1637146544097
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637146544105,1637146582046
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637146582058,1637146584363
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637146584372,1637146592120
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637146592128,1637146601837
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637146601845,1637146602964
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637146602972,1637146606128
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637146606136,1637146609756
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637146609771,1637146626656
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637146626666,1637146642504
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637146642513,1637146662852
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637146662867,1637146869813
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637146869898,1637146943664
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637146943706,1637146946524
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637146946532,1637146956172
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637146956227,1637146976947
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637146976956,1637146983373
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637146983389,1637147024857
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637147024866,1637147037308
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637147037317,1637147072608
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637147072617,1637147075995
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637147076003,1637147096906
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637147096920,1637147099527
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637147099535,1637147103838
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637147103848,1637147115765
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637147115774,1637147266779
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637147266843,1637147270184
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637147270241,1637147277839
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637147277909,1637147346508
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637147346554,1637147367112
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637147367121,1637147384312
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637147384320,1637147428779
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637147428813,1637147438616
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637147438625,1637147472946
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637147472955,1637147480883
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637147480893,1637147488202
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637147488210,1637147498395
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637147498404,1637147512337
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637147512349,1637147520946
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637147520954,1637147548583
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637147548595,1637147552233
question,/aR6PPMC6cqn8347ghKWeBk/coherence/time_resolve_complaint,1637147552242,1637147576466
question,/aR6PPMC6cqn8347ghKWeBk/coherence/satisfaction_complaint,1637147576474,1637147583799
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637147583808,1637147602189
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637147602197,1637148274357
end screen,,1637148274372,1637148299880
form save,,1637148300391,
form exit,,1637148300391,
form resume,,1637153364567,
jump,,1637153364568,1637153372001
end screen,,1637153372032,1637153387109
form save,,1637153387841,
form exit,,1637153387841,
form finalize,,1637153387841,
