event,node,start,end
form start,,1637663412334,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637663412335,1637663414932
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637663414941,1637663478554
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637663478563,1637663480753
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637663480763,1637663481627
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637663481635,1637663482241
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637663482254,1637663487410
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637663487419,1637663489319
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637663489327,1637663496193
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637663496201,1637663497340
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637663497348,1637663502570
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637663502578,1637663503602
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637663503610,1637663505744
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637663505752,1637663507928
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637663507937,1637663515895
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637663515903,1637663518243
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637663518254,1637663525835
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637663525848,1637663553931
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637663554013,1637663555051
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637663555059,1637663558654
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637663558662,1637663563749
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637663563766,1637663569295
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637663569303,1637663579345
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637663579356,1637663581187
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637663581195,1637663583921
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637663583929,1637663593051
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637663593063,1637663600961
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637663600969,1637663604036
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637663604048,1637663605575
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637663605586,1637663607559
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637663607570,1637663609525
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637663609538,1637663684927
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637663685022,1637663713724
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637663713786,1637663724960
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637663724972,1637663726334
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637663726345,1637663733295
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637663733307,1637663739547
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637663739555,1637663755251
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637663755263,1637663756830
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637663756842,1637663758909
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637663758920,1637663760370
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637663760383,1637663761966
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637663761977,1637663768257
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637663768268,1637663922404
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637663922460,1637663973324
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637663973399,1637664005438
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637664005446,1637664007298
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637664007310,1637664009258
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637664009267,1637664010532
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637664010544,1637664012494
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637664012507,1637664015629
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637664015641,1637664045894
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637664045930,1637664051593
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637664051604,1637664075046
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637664075059,1637664084912
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637664084923,1637664086268
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637664086280,1637664089527
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637664089539,1637664095089
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637664095097,1637664096344
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637664096356,1637664102033
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637664102045,1637664108828
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637664108839,1637664110810
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637664110818,1637664119009
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637664119021,1637664133240
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637664133248,1637664137124
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637664137136,1637664181297
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637664181309,1637664182246
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637664182262,1637664193781
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637664193789,1637664216923
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637664216934,1637664217874
end screen,,1637664217881,1637664535786
form save,,1637664536312,
form exit,,1637664536312,
form finalize,,1637664536312,
form resume,,1637664840770,
jump,,1637664840771,1637664844295
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637664842777,1637664844295
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637664844305,1637664846991
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637664847005,1637664850139
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp_no,1637664850147,1637664851534
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637664851542,1637664852809
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637664852819,1637664854183
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637664854192,1637664856049
form save,,1637664856557,
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637664856557,1637664859834
form save,,1637664860383,
form exit,,1637664860383,
form finalize,,1637664860383,
