event,node,start,end
form start,,1637841200175,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637841200177,1637841203719
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637841203729,1637841322948
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637841322960,1637841326749
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637841326764,1637841335721
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637841335734,1637841337763
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637841337771,1637841345007
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637841345015,1637841346891
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637841346902,1637841354697
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637841354705,1637841425379
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637841425434,1637841427532
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637841427541,1637841428756
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637841428818,1637841430320
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637841430329,1637841437545
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637841437615,1637841442549
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637841442560,1637841444064
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637841444128,1637841445353
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637841445362,1637841451160
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637841451175,1637841471322
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637841471336,1637841481305
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637841481319,1637841482168
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637841482176,1637841487843
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637841487851,1637841497552
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637841497561,1637841499534
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637841499545,1637841509704
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637841509714,1637841527003
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637841527016,1637841528946
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637841528960,1637841530929
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637841530941,1637841542338
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637841542352,1637841627754
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637841627822,1637841685287
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637841685347,1637841693906
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637841693919,1637841706097
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637841706109,1637841733296
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637841733305,1637841752295
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637841752305,1637841767400
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637841767412,1637841768746
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637841768756,1637841770106
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637841770119,1637841772670
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637841772679,1637841779647
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637841779662,1637841805520
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637841805529,1637841983497
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637841983551,1637842129377
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637842129472,1637842157484
