event,node,start,end
form start,,1637829790330,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637829790332,1637829793153
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637829793163,1637830844051
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637830844063,1637830845758
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637830845770,1637830847308
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637830847321,1637830848738
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637830848752,1637830854099
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637830854108,1637830856514
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637830856524,1637830867332
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637830867346,1637830908849
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637830908910,1637830909744
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637830909755,1637830912246
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637830912263,1637830919431
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637830919441,1637830922372
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637830922381,1637830941895
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637830941906,1637830943385
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637830943394,1637830959117
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637830959131,1637830969636
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637830969644,1637830971780
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637830971793,1637830974680
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637830974696,1637830985963
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637830985977,1637830991322
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637830991331,1637831079497
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637831079594,1637831143713
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637831143763,1637831146773
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637831146782,1637831151098
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637831151112,1637831174487
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637831174498,1637831181268
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637831181281,1637831184234
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637831184243,1637831195741
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637831195750,1637831197522
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_repair_nfi,1637831197531,1637831198888
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637831198907,1637831200337
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637831200350,1637831224701
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637831224710,1637831370479
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637831370537,1637831460578
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637831460630,1637831474495
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637831474508,1637831477474
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637831477483,1637831523851
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637831523887,1637831526389
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637831526404,1637831533506
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637831533515,1637831537245
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637831537257,1637831538943
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637831538952,1637831547715
