event,node,start,end
form start,,1637150616941,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637150616942,1637150637443
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637150637456,1637150678092
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637150678109,1637150679584
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637150679601,1637150681109
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637150681121,1637150683477
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637150683488,1637150685487
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637150685502,1637150688357
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637150688369,1637150703672
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637150703682,1637150706857
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637150706871,1637150709140
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637150709154,1637150720056
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637150720074,1637150749161
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637150749225,1637150750812
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637150750822,1637150753911
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637150753926,1637150769624
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637150769640,1637150786993
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637150787009,1637150821878
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637150821893,1637150823796
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637150823810,1637150831942
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637150831951,1637150833220
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637150833230,1637150834289
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637150834298,1637150835044
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637150835054,1637150847511
