event,node,start,end
form start,,1638084647953,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638084647954,1638084651119
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638084651130,1638084790702
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638084790712,1638084792343
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638084792352,1638084793811
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638084793820,1638084795573
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638084795582,1638084798482
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638084798493,1638084801176
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638084801185,1638084803104
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638084803114,1638084870431
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638084870500,1638084871379
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638084871388,1638084875103
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638084875112,1638084883615
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638084883624,1638084904379
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638084904387,1638084918908
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638084918917,1638084921734
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638084921743,1638084933421
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638084933429,1638084947220
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638084947229,1638084949430
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638084949440,1638084951624
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638084951634,1638084958889
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638084958899,1638084971409
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638084971419,1638085121002
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638085121103,1638085199212
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638085199252,1638085221069
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638085221078,1638085222499
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638085222509,1638085239273
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638085239282,1638085252587
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638085252597,1638085275632
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638085275641,1638085279058
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638085279067,1638085280900
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1638085280909,1638085284509
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1638085284519,1638085286187
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1638085286195,1638085288115
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638085288124,1638085322710
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638085322720,1638085556712
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638085556763,1638085624254
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638085624303,1638085653261
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638085653270,1638085664932
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638085664941,1638085719344
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638085719373,1638085722451
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638085722460,1638085745359
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638085745368,1638085755184
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638085755192,1638085756847
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638085756855,1638085759888
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638085759896,1638085776063
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638085776072,1638085779621
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638085779631,1638085790560
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638085790568,1638085804591
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638085804599,1638085805488
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638085805497,1638085872839
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638085872848,1638085892688
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638085892696,1638085893684
end screen,,1638085893692,1638085922988
form save,,1638085923211,
form exit,,1638085923211,
form finalize,,1638085923211,
