event,node,start,end
form start,,1637663413869,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637663413871,1637663421625
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637663421641,1637663737913
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637663737929,1637663739604
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637663739623,1637663746003
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637663746016,1637663755648
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637663755662,1637663757822
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637663757834,1637663761041
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637663761058,1637663768825
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637663768836,1637663771939
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637663771949,1637663773548
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637663773562,1637663781262
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637663781274,1637663838089
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637663838159,1637663839865
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637663839879,1637663844907
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637663844974,1637663955178
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637663955187,1637664011667
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637664011732,1637664013196
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637664013213,1637664014892
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637664014964,1637664017046
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637664017056,1637664023569
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637664023637,1637664025306
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637664025318,1637664077151
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637664077233,1637664078964
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637664078976,1637664085152
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637664085168,1637664092081
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637664092095,1637664102011
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637664102026,1637664110551
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637664110561,1637664113456
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637664113466,1637664128427
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637664128439,1637664155553
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637664155563,1637664168319
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637664168328,1637664170934
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637664170950,1637664191702
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637664191713,1637664194802
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637664194816,1637664372153
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637664372277,1637664463439
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637664463496,1637664494409
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_misaligned_why,1637664494423,1637664505621
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637664505632,1637664512784
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637664512796,1637664521700
