event,node,start,end
form start,,1638183275115,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638183275116,1638183296370
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638183296378,1638183363764
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638183363773,1638183364996
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638183365004,1638183367255
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638183367262,1638183368469
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638183368477,1638183375783
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638183375790,1638183377395
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638183377403,1638183382932
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638183382940,1638183454594
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638183454651,1638183457490
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638183457498,1638183459303
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638183459312,1638183467930
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638183467939,1638183476907
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638183476915,1638183495909
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638183495917,1638183497771
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638183497778,1638183527943
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638183527951,1638183538168
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638183538175,1638183546330
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638183546338,1638183548807
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638183548815,1638183575056
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638183575065,1638183576835
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1638183576844,1638183579113
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638183579121,1638183580725
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638183580733,1638183588306
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638183588314,1638183597750
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638183597760,1638183720155
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638183720232,1638183779678
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638183779715,1638183795020
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638183795027,1638183796499
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638183796506,1638183836280
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638183836288,1638183842497
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638183842506,1638183843245
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638183843253,1638183854400
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638183854409,1638183854495
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638183854505,1638183856063
