event,node,start,end
form start,,1637753397946,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637753397950,1637753401637
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637753401660,1637753425615
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637753425631,1637753427418
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637753427433,1637753429265
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637753429278,1637753430856
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637753430871,1637753443318
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637753443326,1637753445417
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637753445433,1637753449064
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637753449073,1637753491790
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637753491862,1637753495390
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637753495399,1637753503181
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637753503258,1637753504725
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637753504734,1637753507872
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637753507932,1637753509394
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637753509403,1637753519623
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637753519635,1637753543113
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637753543127,1637753550672
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637753550687,1637753559555
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637753559565,1637753562204
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637753562213,1637753563127
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637753563136,1637753565247
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637753565261,1637753582147
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637753582160,1637753610243
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637753610258,1637753612384
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637753612397,1637753614071
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637753614083,1637753626400
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637753626415,1637753628029
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637753628044,1637753801255
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637753801349,1637753889209
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637753889277,1637753918503
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637753918513,1637753935520
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637753935534,1637753968042
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637753968052,1637754015979
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637754015993,1637754040304
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637754040316,1637754114472
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637754114481,1637754285546
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637754285611,1637754430560
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637754430623,1637754453418
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637754453430,1637754455948
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637754455964,1637754467547
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637754467558,1637754471606
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637754471618,1637754558918
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637754558951,1637754571149
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637754571162,1637754574289
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637754574297,1637754580368
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637754580380,1637754586020
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637754586029,1637754587176
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637754587185,1637754589198
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637754589213,1637754619094
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637754619106,1637754623805
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637754623818,1637754645038
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637754645048,1637754655734
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637754655746,1637754658913
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637754658924,1637754680832
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637754680841,1637754684168
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637754684178,1637754687934
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637754687942,1637754715822
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637754715836,1637754717212
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637754717220,1637754728549
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637754728558,1637754747815
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637754747824,1637754748756
end screen,,1637754748766,1637754780892
form save,,1637754781644,
form exit,,1637754781644,
form finalize,,1637754781644,
