event,node,start,end
form start,,1638087597157,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1638087597158,1638087599903
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1638087599913,1638087678570
question,/aR6PPMC6cqn8347ghKWeBk/consent,1638087678580,1638087680786
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1638087680796,1638087695442
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1638087695451,1638087697520
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1638087697530,1638087706297
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1638087706306,1638087708059
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1638087708070,1638087712599
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1638087712608,1638087759224
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1638087759290,1638087760493
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1638087760502,1638087768538
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1638087768549,1638087776950
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1638087776959,1638087796235
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1638087796246,1638087802302
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1638087802311,1638087803981
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1638087803990,1638087819325
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1638087819338,1638087833789
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1638087833797,1638087835317
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1638087835326,1638087836564
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1638087836575,1638087849931
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1638087849942,1638087851245
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1638087851255,1638088021532
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638088021600,1638088076338
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638088076391,1638088077798
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1638088077807,1638088082871
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1638088082928,1638088090865
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1638088090874,1638088099990
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1638088099999,1638088126407
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1638088126416,1638088146488
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1638088146498,1638088165576
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1638088165586,1638088196810
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1638088196821,1638088364700
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1638088364753,1638088487619
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1638088487674,1638088514879
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1638088514888,1638088522426
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1638088522435,1638088530190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1638088530199,1638088547629
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1638088547638,1638088604901
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1638088604925,1638088620824
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1638088620833,1638088635105
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1638088635113,1638088646427
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1638088646436,1638088655935
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1638088655944,1638088663931
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1638088663939,1638088667738
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1638088667746,1638088671960
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1638088671970,1638088683764
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1638088683774,1638088710695
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1638088710703,1638088712157
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1638088712166,1638088726288
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1638088726297,1638088775080
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1638088775088,1638088776244
end screen,,1638088776252,1638088798863
form save,,1638088799071,
form exit,,1638088799071,
form finalize,,1638088799071,
