event,node,start,end
form start,,1637147106870,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637147106872,1637147111073
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637147111083,1637147364790
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637147364802,1637147366685
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_wfp,1637147366702,1637147368672
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637147368687,1637147370728
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/will_to_response,1637147370743,1637147372867
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/relationship,1637147372882,1637147375217
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637147375228,1637147385349
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637147385360,1637147387405
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/sex_head_hh,1637147387419,1637147389628
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637147389641,1637147397538
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637147397551,1637147440806
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637147440878,1637147441972
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637147441984,1637147446797
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637147446807,1637147454428
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637147454439,1637147457113
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637147457123,1637147467350
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637147467361,1637147468985
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637147468995,1637147480298
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637147480308,1637147491515
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637147491524,1637147514506
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_status_other,1637147514516,1637147545942
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637147545953,1637147548521
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637147548531,1637147553133
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637147553146,1637147567188
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637147567198,1637147569328
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637147569339,1637147711126
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637147711262,1637147853879
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637147853956,1637147864040
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637147864049,1637147867585
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637147867595,1637147902598
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637147902609,1637147920649
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637147920658,1637147934221
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637147934233,1637147935437
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637147935448,1637147944190
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637147944202,1637147948972
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637147948981,1637147950289
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637147950299,1637147951617
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637147951626,1637147954886
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637147954895,1637147959525
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637147959534,1637147965688
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_shock_ineffective_med,1637147965698,1637147978398
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637147978408,1637148010863
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637148010879,1637148016799
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637148016862,1637148017762
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_shock_ineffective_med,1637148017774,1637148019146
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637148019155,1637148024012
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources_other,1637148024022,1637148037039
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637148037050,1637148182406
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637148182465,1637148232645
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637148232708,1637148252803
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637148252813,1637148255527
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637148255537,1637148301928
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637148301975,1637148303518
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637148303528,1637148304821
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637148304851,1637148306037
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637148306048,1637148309941
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637148309977,1637148313148
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637148313158,1637148319735
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637148319748,1637148321117
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637148321136,1637148330369
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637148330378,1637148342421
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637148342431,1637148344141
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637148344154,1637148350162
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637148350173,1637148367196
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts_other,1637148367210,1637148373798
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637148373807,1637148382147
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose_other,1637148382156,1637148384913
