event,node,start,end
form start,,1637743133624,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637743133625,1637743280841
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637743280852,1637743291078
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637743291093,1637743292443
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637743292457,1637743293752
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637743293772,1637743295148
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637743295158,1637743300818
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637743300826,1637743302355
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637743302369,1637743314636
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637743314644,1637743369919
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637743369974,1637743370988
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637743370997,1637743375545
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637743375554,1637743382808
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637743382820,1637743387202
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637743387214,1637743399379
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637743399386,1637743400735
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637743400744,1637743423254
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637743423268,1637743446822
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637743446836,1637743452509
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637743452517,1637743456474
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637743456487,1637743463052
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637743463061,1637743467122
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637743467137,1637743487258
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637743487271,1637743551631
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637743551726,1637743628533
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637743628614,1637743656145
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637743656160,1637743671678
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637743671691,1637743679065
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637743679073,1637743683723
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637743683733,1637743698615
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637743698628,1637743704832
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637743704845,1637743709788
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637743709796,1637743724052
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637743724067,1637743903004
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637743903064,1637743942062
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637743942133,1637743981142
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637743981155,1637743983043
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637743983056,1637744013327
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637744013359,1637744016401
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637744016413,1637744034602
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637744034611,1637744042070
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637744042084,1637744045713
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637744045725,1637744051383
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637744051391,1637744063398
