event,node,start,end
form start,,1637490181014,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637490181015,1637490196584
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637490196592,1637490353108
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637490353119,1637490354429
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637490354442,1637490355695
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637490355721,1637490357434
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637490357442,1637490361721
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637490361731,1637490363199
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637490363210,1637490375406
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637490375414,1637490467940
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637490467999,1637490469147
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637490469155,1637490471674
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637490471686,1637490478144
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637490478156,1637490484945
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637490484959,1637490496372
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637490496381,1637490498312
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637490498321,1637490507188
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637490507201,1637490516638
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637490516647,1637490518156
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637490518167,1637490529335
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637490529343,1637490533202
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637490533213,1637490536053
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637490536066,1637490545064
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637490545077,1637490607791
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637490607883,1637490677389
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637490677445,1637490678332
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637490678341,1637490686030
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637490686077,1637490694438
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637490694449,1637490695895
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637490695907,1637490707494
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637490707507,1637490712934
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637490712945,1637490730653
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637490730662,1637490733549
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_med,1637490733558,1637490735510
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637490735523,1637490742334
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637490742349,1637490858994
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637490859056,1637490861801
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637490861867,1637490871785
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637490871845,1637490961540
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637490961623,1637490962568
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637490962577,1637490968259
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637490968314,1637490985281
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637490985291,1637490987000
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637490987012,1637490988844
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637490988854,1637490992932
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637490992946,1637490995685
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation_mpca,1637490995721,1637490997728
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637490997736,1637491045953
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637491045986,1637491048645
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637491048653,1637491050042
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637491050054,1637491057006
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637491057014,1637491061800
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637491061813,1637491070945
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637491070959,1637491072262
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637491072276,1637491089386
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637491089401,1637491092564
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637491092572,1637491109823
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637491109840,1637491112655
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637491112664,1637491126320
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637491126334,1637491133692
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637491133709,1637491142709
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637491142717,1637491144004
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637491144013,1637491168457
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637491168465,1637491184139
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637491184148,1637491185594
end screen,,1637491185602,1637491484327
form save,,1637491484870,
form exit,,1637491484870,
form finalize,,1637491484870,
