event,node,start,end
form start,,1637499029692,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637499029694,1637499032562
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637499032571,1637499095219
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637499095232,1637499098992
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637499099003,1637499100762
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637499100771,1637499106198
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637499106206,1637499108453
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637499108471,1637499110372
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637499110382,1637499122474
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637499122484,1637499150702
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637499150759,1637499152051
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637499152060,1637499158519
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637499158528,1637499167497
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637499167505,1637499175837
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637499175846,1637499193374
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637499193382,1637499196595
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637499196606,1637499206955
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637499206964,1637499213109
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637499213121,1637499218293
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637499218308,1637499233924
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637499233935,1637499239841
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637499239851,1637499248312
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637499248321,1637499354037
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637499354130,1637499408980
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637499409058,1637499424925
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637499424934,1637499434235
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637499434244,1637499477299
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637499477308,1637499486967
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637499486976,1637499509568
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637499509577,1637499516394
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_shelter,1637499516403,1637499521862
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/role_mpca_debt,1637499521873,1637499523295
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/income_sources,1637499523307,1637499526750
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637499526763,1637499705913
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637499705972,1637499712245
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/expenditure_and_impact/expenses,1637499712305,1637499718291
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/lcsi,1637499718357,1637499775268
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation,1637499775322,1637499801336
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_financial_situation_mpca,1637499801346,1637499811887
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_psych_situation,1637499811899,1637499816643
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_behaviors_mpca,1637499816653,1637499850400
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca,1637499850445,1637499859697
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/change_dignity_mpca_how,1637499859706,1637499863593
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/change_relations_relatives,1637499863606,1637499873870
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/changes_relations_community,1637499873879,1637499888058
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debts,1637499888069,1637499890542
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/source_debts,1637499890553,1637499898203
question,/aR6PPMC6cqn8347ghKWeBk/satisfaction/debt_purpose,1637499898212,1637499908349
question,/aR6PPMC6cqn8347ghKWeBk/coherence/complaint_mechanisms,1637499908358,1637499919602
question,/aR6PPMC6cqn8347ghKWeBk/coherence/use_complaint_mechanisms,1637499919610,1637499923371
question,/aR6PPMC6cqn8347ghKWeBk/coherence/reason_not_use_complaint,1637499923386,1637499925730
question,/aR6PPMC6cqn8347ghKWeBk/coherence/preferred_assistance,1637499925738,1637499934846
question,/aR6PPMC6cqn8347ghKWeBk/thanks,1637499934856,1637499958084
question,/aR6PPMC6cqn8347ghKWeBk/contact_name,1637499958094,1637499972905
question,/aR6PPMC6cqn8347ghKWeBk/contact_number,1637499972914,1637499982125
question,/aR6PPMC6cqn8347ghKWeBk/end_submit,1637499982133,1637499983408
end screen,,1637499983416,1637499998945
jump,,1637499998945,1637500001640
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637500001668,1637500956353
jump,,1637500956354,1637500959040
end screen,,1637500959090,1637500961087
form save,,1637500961668,
form exit,,1637500961668,
form finalize,,1637500961668,
