event,node,start,end
form start,,1637841678983,
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637841678984,1637841682759
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637841682769,1637841756334
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637841756350,1637841757979
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637841757994,1637841766601
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637841766616,1637841768297
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637841768307,1637841786219
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637841786227,1637841788206
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637841788219,1637841796446
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637841796456,1637841879797
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637841879861,1637842075715
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637842075726,1637842077388
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637842077400,1637842077582
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637842077597,1637842078920
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637842078934,1637842079173
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637842079193,1637842079601
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637842079619,1637842080781
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637842080794,1637842082959
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637842082973,1637842228960
question,/aR6PPMC6cqn8347ghKWeBk/enumerator_num,1637842228971,1637842232058
question,/aR6PPMC6cqn8347ghKWeBk/refugee_status,1637842232068,1637842239170
question,/aR6PPMC6cqn8347ghKWeBk/consent,1637842239182,1637842240650
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/mpca_assistance_gpc,1637842240659,1637842242457
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/hhh,1637842242466,1637842257828
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/age_respondent_r,1637842257837,1637842262327
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/gender_respondent_r,1637842262340,1637842263897
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size_1,1637842263906,1637842278158
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/household_size,1637842278171,1637842335462
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/calc_note,1637842335528,1637842336612
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/preg_lact,1637842336624,1637842346495
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637842346506,1637842355929
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637842355939,1637842357123
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/chronic_disease,1637842357132,1637842360328
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/pwd,1637842360344,1637842379046
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/adult_employment_num,1637842379060,1637842389475
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/child_employment_num,1637842389484,1637842391001
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/displaced_escalation,1637842391011,1637842399598
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/shelter_type,1637842399613,1637842421314
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/occupancy_arrangement,1637842421327,1637842434404
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction,1637842434419,1637842441647
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/fear_eviction_why,1637842441661,1637842446499
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance,1637842446514,1637842448990
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/receive_other_assistance_which,1637842449002,1637842452069
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/transfer_amount,1637842452080,1637842578124
group questions,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_size/mpca_behaviors,1637842578220,1637842661624
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_alignment,1637842661681,1637842692932
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/transfer_timeliness/transfer_timing,1637842692948,1637842694250
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/escalation_priorities,1637842694261,1637842701759
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_help_escalation_priorities,1637842701772,1637842711242
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/mpca_no_help_escalation_priorities,1637842711258,1637842727003
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/exp_shock,1637842727013,1637842729289
question,/aR6PPMC6cqn8347ghKWeBk/hh_characteristics/elasticity_durability/type_of_shock,1637842729303,1637842789075
